S T U q1 q2 q3 WinSize
4.999999999999999562e-06 1.014267733040514563e-06 1.000000000000000021e-08 -1.849260213546776582e-02 9.391425352418636407e-02 7.542165138871859131e-02 6.000000000000000000e+00
5.001204370853238357e-06 1.016955715681382038e-06 1.000074503310967034e-08 -1.904873843656088722e-02 2.226874598594186239e-02 3.220007549380975165e-03 6.000000000000000000e+00
5.001854578946497170e-06 1.020703025189012956e-06 1.000038158486277455e-08 -1.963073633517312122e-02 -1.080383937930289306e-01 -1.276691301282020519e-01 6.000000000000000000e+00
5.002687759390277778e-06 1.024627054112661091e-06 1.000004888536155601e-08 -1.970576909055334058e-02 3.114489582391257727e-01 2.917431891485724460e-01 6.000000000000000000e+00
5.003573947478030119e-06 1.027513438562713366e-06 1.000000000000000021e-08 -1.955537636092893883e-02 4.125255645805196991e-01 3.929701882195907325e-01 6.000000000000000000e+00
5.005611309944516518e-06 1.029137471002453749e-06 1.000000000000000021e-08 -1.976449066636086493e-02 1.813265361575115975e-01 1.615620454911507187e-01 6.000000000000000000e+00
5.007662997325630655e-06 1.028817938971422761e-06 1.000000000000000021e-08 -1.965546008388816684e-02 -1.577492730573712976e-01 -1.774047331412594575e-01 6.000000000000000000e+00
5.008944015570351029e-06 1.027763812936886358e-06 1.000000000000000021e-08 -1.994589864951038655e-02 -4.646198635373242070e-01 -4.845657621868346143e-01 6.000000000000000000e+00
5.010235597400600175e-06 1.023136132617381761e-06 1.000000000000000021e-08 -1.977220272394636380e-02 -5.790006128378752948e-01 -5.987728155618217141e-01 6.000000000000000000e+00
5.191484528342179252e-06 1.022623860294369262e-06 1.000000000000000021e-08 -2.025481675041520407e-02 -6.654294817224126746e-01 -6.856842984728278578e-01 6.000000000000000000e+00
6.343740238142940611e-06 1.065473993316910393e-06 1.000000000000000021e-08 -2.297609663873809160e-02 -4.118686534340394445e-01 -4.348447500727775639e-01 6.000000000000000000e+00
6.401730484966079285e-06 1.052258429978372122e-06 1.000000000000000021e-08 -2.312239085967668362e-02 -2.697504992158723525e-01 -2.928728900755490638e-01 6.000000000000000000e+00
6.468789316792470901e-06 1.037862535939583355e-06 1.000000000000000021e-08 -2.375370327867065701e-02 1.362738579261026928e-01 1.125201546474320358e-01 6.000000000000000000e+00
6.537773068654468936e-06 1.023981815128521217e-06 1.000000000000000021e-08 -2.463228993441452658e-02 4.653867518897083499e-01 4.407544619552938303e-01 6.000000000000000000e+00
6.597622530639916808e-06 1.012673791004291667e-06 1.000000000000000021e-08 -2.547269542522791197e-02 4.295493724707881711e-01 4.040766770455602730e-01 6.000000000000000000e+00
6.642239984857370032e-06 1.005234913293636931e-06 1.000000000000000021e-08 -2.653588340793999051e-02 7.131806522984280861e-01 6.866447688904880886e-01 6.000000000000000000e+00
6.662149285289087346e-06 1.002005175242649665e-06 1.000000000000000021e-08 -2.742791909557561886e-02 5.241640397146305475e-01 4.967361206190549217e-01 6.000000000000000000e+00
6.640144301428640008e-06 1.002131403810836260e-06 1.000000767951386894e-08 -2.775520867875982262e-02 5.031003893484413680e-01 4.753451806696815662e-01 6.000000000000000000e+00
6.534096625996390033e-06 1.002264160630210862e-06 1.000000000000000021e-08 -2.770516477273005790e-02 3.900708006461623967e-01 3.623656358734323457e-01 6.000000000000000000e+00
6.349962936916261368e-06 1.002402144710718107e-06 1.000000000000000021e-08 -2.729570695977291683e-02 2.733784811103312506e-01 2.460827741505583477e-01 6.000000000000000000e+00
6.132611283790194399e-06 1.002543671516408729e-06 1.000000000000000021e-08 -2.633275127303705276e-02 -2.701840783457463147e-01 -2.965168296187833397e-01 6.000000000000000000e+00
5.926426754495202547e-06 1.002685775760305999e-06 1.000000000000000021e-08 -2.505127154491983837e-02 -3.805868462306527533e-01 -4.056381177755725709e-01 6.000000000000000000e+00
5.752147957998252635e-06 1.002821344588683538e-06 1.000007476085091066e-08 -2.371117970646034745e-02 -5.457515346751602436e-01 -5.694627143816205495e-01 6.000000000000000000e+00
5.630097891211837615e-06 1.002955283413034723e-06 1.000013327453305912e-08 -2.255710012271329445e-02 -2.552743729379063353e-01 -2.778314730606196159e-01 6.000000000000000000e+00
5.548972891453429193e-06 1.003077115464550425e-06 1.000030904214003085e-08 -2.215379758267446014e-02 2.559029994541361930e-01 2.337492018714617259e-01 6.000000000000000000e+00
5.498709498387382804e-06 1.003208035037982877e-06 1.000034720187322830e-08 -2.215232595027761403e-02 -1.559670240581958467e-01 -1.781193500084734538e-01 6.000000000000000000e+00
5.450728800960169060e-06 1.003334169910985371e-06 1.000044465403198487e-08 -2.188546649707599767e-02 -8.070721745732001295e-02 -1.025926839543960106e-01 6.000000000000000000e+00
5.384354796792119367e-06 1.003466201179055044e-06 1.000049736220863404e-08 -2.167587959457189378e-02 1.945820421170765258e-01 1.729061625225046250e-01 6.000000000000000000e+00
5.269191479568368843e-06 1.003601185687425018e-06 1.000057932383615358e-08 -2.146317705651965002e-02 4.896779094132348575e-01 4.682147323567151798e-01 6.000000000000000000e+00
5.086594055474747423e-06 1.003740478607077937e-06 1.000070403612640813e-08 -2.101941970520673081e-02 6.008736994312950941e-01 5.798542797260883841e-01 6.000000000000000000e+00
5.041576451023408981e-06 1.014079490723080358e-06 1.000088096605440336e-08 -2.038845806388649845e-02 4.456437760255962388e-01 4.252553179617097334e-01 6.000000000000000000e+00
5.085207053045989755e-06 1.032034218912247561e-06 1.000111050063179411e-08 -1.996037050234514276e-02 3.874014885383285645e-01 3.674411180359834495e-01 6.000000000000000000e+00
5.143163425586967510e-06 1.051632756196053868e-06 1.000172536277610082e-08 -1.914299260795237351e-02 3.965339989971283785e-02 2.051040729176046434e-02 6.000000000000000000e+00
5.204458013206874188e-06 1.071511357127748917e-06 1.000200516954535803e-08 -1.876721930128910643e-02 -2.555801400418520331e-01 -2.743473593431411395e-01 6.000000000000000000e+00
5.046790285695224233e-06 1.078517969693460358e-06 1.000279447647383291e-08 -1.740294993642004656e-02 -3.134644678040032773e-01 -3.308674177404233308e-01 6.000000000000000000e+00
5.091573784510233450e-06 1.091350685056440332e-06 1.000335082756124901e-08 -1.673304278036283343e-02 -5.464464962247568280e-01 -5.631795390051196337e-01 6.000000000000000000e+00
5.049493320635570338e-06 1.093772511444694345e-06 1.000384135153449580e-08 -1.523747808193366693e-02 -6.125082556449381599e-01 -6.277457337268718129e-01 6.000000000000000000e+00
5.050939294093618975e-06 1.091406778628688251e-06 1.000420845433699652e-08 -1.479650342970193627e-02 -7.635232243781544526e-01 -7.783197278078564096e-01 6.000000000000000000e+00
5.052426007454752620e-06 1.082123426685544254e-06 1.000428047018081045e-08 -1.455742365295778495e-02 -4.947108216380087242e-01 -5.092682452909664814e-01 6.000000000000000000e+00
5.053980068693420483e-06 1.067415751055531908e-06 1.000432594893430876e-08 -1.479993194090806902e-02 -4.229364013027705482e-01 -4.377363332436786103e-01 6.000000000000000000e+00
5.055584724408222865e-06 1.049214690892662588e-06 1.000435253947214858e-08 -1.540987755324897679e-02 -7.203140211332659248e-02 -8.744127966657556927e-02 6.000000000000000000e+00
5.198907142242110147e-06 1.036672011675766029e-06 1.000437066369442467e-08 -1.677063333746146856e-02 9.307400641943353037e-02 7.630337308197206181e-02 6.000000000000000000e+00
5.229442792465163043e-06 1.019777166994375738e-06 1.000335443331167412e-08 -1.798672450244998694e-02 5.356023801535947371e-01 5.176156556511447571e-01 6.000000000000000000e+00
5.257968921567299167e-06 1.005351233311305531e-06 1.000337582339347603e-08 -1.927100545722370412e-02 6.352870784012250027e-01 6.160160729440012917e-01 6.000000000000000000e+00
6.418123410576089570e-06 1.048771001513310614e-06 1.000242721359720287e-08 -2.275216655812297567e-02 8.750685512646949604e-01 8.523163847065720056e-01 6.000000000000000000e+00
6.447470317113665364e-06 1.042339412601489729e-06 1.000210773590334642e-08 -2.440971020269968456e-02 4.120179312918512693e-01 3.876082210891516056e-01 6.000000000000000000e+00
6.467434996326316487e-06 1.038236411325439920e-06 1.000192769999281439e-08 -2.455664197768205742e-02 8.168441600490083943e-02 5.712777402721878200e-02 6.000000000000000000e+00
6.481836444893146258e-06 1.035464392813104916e-06 1.000196187843867567e-08 -2.430933595234510691e-02 -1.015917909040151557e-01 -1.259011268563602626e-01 6.000000000000000000e+00
6.495540492480020169e-06 1.032882527517341390e-06 1.000199627538051554e-08 -2.405081397290766143e-02 -3.431378130445512653e-01 -3.671886270174589129e-01 6.000000000000000000e+00
6.514908586664190399e-06 1.029100956345909724e-06 1.000202724029315173e-08 -2.320423034818330094e-02 -2.365414031061288114e-01 -2.597456334543121192e-01 6.000000000000000000e+00
6.543986676701736193e-06 1.023327045695720854e-06 1.000205225099038180e-08 -2.320497191056164477e-02 -4.235430998009004355e-01 -4.467480717114620803e-01 6.000000000000000000e+00
6.583499243334611529e-06 1.015585369177637036e-06 1.000207101621505144e-08 -2.349302767319123852e-02 -3.544888687088061374e-01 -3.779818963819973621e-01 6.000000000000000000e+00
6.631872738564544897e-06 1.006388847528760635e-06 1.000208457909535722e-08 -2.371202919870939868e-02 4.237764081333672550e-02 1.866561161462732682e-02 6.000000000000000000e+00
7.150719258867732922e-06 1.019118308904865643e-06 1.000136301790176301e-08 -2.538275214304758221e-02 2.986801005323247438e-01 2.732973483892771616e-01 6.000000000000000000e+00
7.200800497782900008e-06 1.011786962993955603e-06 1.000085585974280380e-08 -2.652513305190998261e-02 1.486402938727433565e-01 1.221151608208333739e-01 6.000000000000000000e+00
