S_final T_final U_final q1 q2 q3
1.254014202214042724e-06 1.016100972438198551e-06 6.580123444027834232e-09 -2.214006567270720982e-05 1.484092391135032329e-01 1.483870990478305396e-01
1.255811597213843780e-06 1.014741563898519102e-06 6.572341518356357609e-09 -1.803254476797112871e-04 -3.355256877449974695e-03 -3.535582325129685982e-03
1.257258171490121433e-06 1.013622544781849272e-06 6.565501620921822795e-09 -3.539116564558828643e-04 -2.255120898724651823e-01 -2.258660015289210565e-01
1.257270156121713094e-06 1.013745940104048175e-06 6.566020065975620879e-09 -4.013331621551922967e-04 1.311866473533491728e-01 1.307853141911939909e-01
1.255138996694909495e-06 1.015560015889193348e-06 6.576726519446421060e-09 -3.842316857142463044e-04 2.306827398130764095e-01 2.302985081273621615e-01
1.249449502533841087e-06 1.020261278622007986e-06 6.607195769305835065e-09 -4.515032506614922309e-04 9.758716374110143477e-02 9.713566049043993733e-02
1.241124726157825932e-06 1.027182287707815990e-06 6.652037516577733601e-09 -4.269900905546283876e-04 -5.286854439945898321e-02 -5.329553449001361159e-02
1.234100136078248940e-06 1.033107008180039093e-06 6.690429151307937325e-09 -4.956548667925525509e-04 -1.863071190410661160e-01 -1.868027739078586547e-01
1.232709449889402956e-06 1.034385500315786504e-06 6.698194568957015716e-09 -4.178918766634225068e-04 -1.888394950585823295e-01 -1.892573869352457416e-01
1.238748757528711867e-06 1.029034028956372192e-06 6.663504656735153766e-09 -3.483146718195797437e-04 -2.579328446460635860e-01 -2.582811593178831466e-01
1.253147413323639703e-06 1.017013197148605236e-06 6.585641870897342769e-09 -2.704280282028459492e-04 -1.033238758111068023e-01 -1.035943038393096483e-01
1.274200486613230550e-06 1.000285158105525195e-06 6.477312317769906009e-09 -1.379860076944090103e-04 -1.381968198452980801e-01 -1.383348058529924873e-01
1.298233636098712114e-06 9.818413446219202972e-07 6.357877326331322324e-09 -8.041551485183165426e-05 6.561694446224919375e-02 6.553652894739736556e-02
1.321268657992237765e-06 9.647970489909924920e-07 6.247498364420846434e-09 -7.357069943955338309e-05 2.166823037390930295e-01 2.166087330396534727e-01
1.339553860274759674e-06 9.517009752428175273e-07 6.162673886640097340e-09 -8.927269580021046647e-05 5.594597578072324495e-02 5.585670308492303449e-02
1.350774647498140593e-06 9.438695144206170051e-07 6.111930180075370197e-09 -1.990144942990244165e-04 2.815327202728958866e-01 2.813337057785968431e-01
1.354431844301129535e-06 9.413955510961197706e-07 6.095873871638089378e-09 -3.344915332239364880e-04 9.341348880897726303e-02 9.307899727575333348e-02
1.350718449150574029e-06 9.440586308966802527e-07 6.113080638365695532e-09 -4.237671502346079810e-04 1.274757823104497589e-01 1.270520151602151371e-01
1.339956916106957681e-06 9.517167714590181535e-07 6.162626959602851925e-09 -5.155138845559167904e-04 1.416093261494495437e-01 1.410938122648936199e-01
1.324088132184734174e-06 9.632007260533804752e-07 6.236938637094414271e-09 -6.088045788729280067e-04 1.933467305811884529e-01 1.927379260023155128e-01
1.306660413904715882e-06 9.761269768444766898e-07 6.320584106329858778e-09 -6.196033808318658631e-04 -1.728645283037266722e-01 -1.734841316845585346e-01
1.292608881586325361e-06 9.868179215364335033e-07 6.389758800178538351e-09 -5.480713171636154846e-04 -1.618251427341164117e-01 -1.623732140512800237e-01
