S T U q1 q2 q3 WinSize
4.645389355426520110e-06 7.472012027640442986e-07 1.887519670324588992e-08 -3.730420733017403290e-02 7.475519481572945324e-02 3.745098748555542034e-02 5.000000000000000000e+00
4.140207621020402681e-06 7.714278503633078391e-07 1.686522415600517603e-08 -3.182602543956215835e-02 1.703379540245109069e-02 -1.479223003711106765e-02 5.000000000000000000e+00
3.689963926302918506e-06 7.993405297305161235e-07 1.503114685087552640e-08 -2.682271493512252553e-02 -9.522638136441408108e-02 -1.220490962995366135e-01 5.000000000000000000e+00
3.288683810997156291e-06 8.260720525965848563e-07 1.349656556720673781e-08 -2.208842455825061821e-02 3.254810695194141346e-01 3.033926449611635268e-01 5.000000000000000000e+00
2.931042531776478268e-06 8.557324737743310219e-07 1.205151084996813343e-08 -1.757054344007136573e-02 4.248183641320384396e-01 4.072478206919670773e-01 5.000000000000000000e+00
2.931546930346563527e-06 8.555601752410432022e-07 1.204906704090169644e-08 -1.771929722895155754e-02 1.630097041634446242e-01 1.452904069344930771e-01 5.000000000000000000e+00
2.933029097559830869e-06 8.551261775189363867e-07 1.204291388056233232e-08 -1.765311438224876142e-02 -1.812486053801070085e-01 -1.989017197623557665e-01 5.000000000000000000e+00
2.624228899869420998e-06 8.810457364963983734e-07 1.073325829391508952e-08 -1.385533512267705589e-02 -5.559344442286953125e-01 -5.697897793513723164e-01 5.000000000000000000e+00
2.445332211009006680e-06 9.102658217650946780e-07 9.566026523683631421e-09 -1.052508370628608622e-02 -7.515344370770247195e-01 -7.620595207833108509e-01 5.000000000000000000e+00
2.342779354909402634e-06 9.472702955430906816e-07 8.525730113445315983e-09 -7.419283625977126512e-03 -8.284452733141165481e-01 -8.358645569400936504e-01 5.000000000000000000e+00
2.328076350410617611e-06 9.680754635734973452e-07 7.967573038110164772e-09 -5.632779863563783934e-03 -5.410786712404185295e-01 -5.467114511039823377e-01 5.000000000000000000e+00
2.316401750642183282e-06 1.015686052415218181e-06 7.101106944864809359e-09 -2.145201542718046944e-03 -3.263610792895992319e-01 -3.285062808323172545e-01 5.000000000000000000e+00
2.340196211117232296e-06 1.047267891924149798e-06 6.584150388704241977e-09 2.872998795996235810e-04 1.539145263639216665e-01 1.542018262435213005e-01 5.000000000000000000e+00
2.358281872006297511e-06 1.039236616490970353e-06 6.533656298471153110e-09 2.816353535237230143e-04 5.432725808116245503e-01 5.435542161651483184e-01 5.000000000000000000e+00
2.374813391169185607e-06 1.032002506753136607e-06 6.488174042257385143e-09 2.433064962507544560e-04 5.388180351897986498e-01 5.390613416860493556e-01 5.000000000000000000e+00
2.385693878024569364e-06 1.027295935269674398e-06 6.458583096019948104e-09 4.446961426441201071e-05 8.483634881024233465e-01 8.484079577166877550e-01 5.000000000000000000e+00
2.391155201826218053e-06 1.024949677028612372e-06 6.443831476218461158e-09 -1.939815002567867042e-04 6.620909712071103570e-01 6.618969897068536223e-01 5.000000000000000000e+00
2.391347489210886302e-06 1.024847864634204169e-06 6.443191252194620122e-09 -3.472047886490664537e-04 6.181816580682255591e-01 6.178344532795765343e-01 5.000000000000000000e+00
