S T U q1 q2
9.893215268208947256e-05 1.584239658512842368e-05 7.673379974423521514e-09 1.277569837098369021e-02 8.813109700658827705e-02
9.873069416708347295e-05 1.591896194181106314e-05 7.644783685922056490e-09 3.204399483014652716e-03 -2.376907650256931959e-02
9.843394489838865643e-05 1.606136959834445030e-05 7.597910470481875413e-09 -5.959284458761482384e-03 -2.064415448619314475e-01
9.816375796233752231e-05 1.625103514477590117e-05 7.549358533269469361e-09 -5.222636176590800261e-03 1.734208805230910144e-01
9.797897795907040380e-05 1.646364393361083466e-05 7.514960182654467921e-09 -5.289929423455408397e-04 2.867240179805232714e-01
9.788003746108095426e-05 1.666917934812026390e-05 7.502887610628319602e-09 -3.471758957852344452e-03 1.312364612127119301e-01
9.786289736337716106e-05 1.683291923948159607e-05 7.510805846717580610e-09 -5.023944809721125893e-04 -8.267673690155241673e-02
9.794840875475786996e-05 1.692036005992937883e-05 7.528326272288401706e-09 -6.447014362341629834e-03 -2.886807505547857033e-01
9.816210652303045418e-05 1.690494456418856309e-05 7.542335708961433330e-09 -2.663879974406757611e-03 -3.351648748687487966e-01
9.849604765313552037e-05 1.677539860194832776e-05 7.541810320050526894e-09 -1.131498980424971990e-03 -4.071624655925951686e-01
9.889078130630881802e-05 1.654090472791372514e-05 7.520448884886830851e-09 3.959262870223412278e-05 -2.127323396183022908e-01
9.924829396767743961e-05 1.623213412399227050e-05 7.477370862521141769e-09 5.534000543698569530e-03 -1.806042061009787147e-01
9.946355046118672994e-05 1.589392972969619686e-05 7.416910152073516625e-09 6.441606755359652325e-03 9.754810356822041228e-02
9.945674812020950369e-05 1.556917663887800652e-05 7.347975299745178166e-09 5.821238398212136289e-03 3.126014767873694922e-01
9.919559596801624443e-05 1.528411905201418610e-05 7.282501066112928621e-09 6.324654795602624446e-03 1.909021657706126973e-01
9.870532081717799686e-05 1.504731255149949302e-05 7.232619594806752975e-09 2.422492726068092850e-03 4.283885049370308451e-01
9.806412403512006714e-05 1.486064461127989506e-05 7.207580703310644258e-09 -1.723528879342905995e-03 2.361047809043785861e-01
9.738401063261416170e-05 1.472919982913873432e-05 7.212010863395382339e-09 -2.202193278575848012e-03 2.539917313913271357e-01
9.678755637513620927e-05 1.466154215110879741e-05 7.245626457114353011e-09 -3.812322249541866270e-03 2.283319300758979153e-01
9.638817186530860518e-05 1.466306058026187971e-05 7.302894583683344204e-09 -7.578672624172888561e-03 2.167448572417338681e-01
9.626517257363024571e-05 1.472896046352771103e-05 7.372402990462411519e-09 -8.005911989552361163e-03 -2.236494388933625288e-01
9.642796432481935492e-05 1.484132454793479562e-05 7.438645023152733864e-09 -4.865282910942125838e-03 -2.605591770949224895e-01
9.679221181676572392e-05 1.497116058076465101e-05 7.488132447262876544e-09 6.662633189631339548e-04 -4.090223598768751856e-01
9.720192771179079040e-05 1.508305579775889759e-05 7.516412722670706276e-09 7.470315182611875215e-03 -1.460490067266952963e-01
9.749666258252732661e-05 1.513903476275706526e-05 7.529562702015385686e-09 5.776179657799085376e-03 3.118668269616975408e-01
9.757405310176167385e-05 1.510155557616112109e-05 7.539054046381971956e-09 9.440421513366992201e-04 -1.562791925190811781e-01
9.740063973871295486e-05 1.493921239934076795e-05 7.556726811372843412e-09 2.560126166366361034e-03 -1.437599132566198534e-01
9.698293267032867798e-05 1.463560977227592562e-05 7.595064652458795473e-09 2.863446187338913873e-03 6.496649360213879731e-02
9.634532372989500952e-05 1.419553565714444785e-05 7.669144581596507366e-09 -1.419980328816183857e-04 2.979700377908773845e-01
9.552801209052488136e-05 1.364323710141974876e-05 7.794035806595408816e-09 -4.799564134952971628e-03 3.756957078533620376e-01
9.458579815136363518e-05 1.301490304274263055e-05 7.978203103750498698e-09 -2.273746850600666392e-03 2.332106152625481599e-01
9.358386092056194703e-05 1.235093086300161998e-05 8.218718368304588184e-09 -2.857916234604962469e-03 2.327339593878754442e-01
9.260355940497769732e-05 1.169075747321947994e-05 8.501922634918467489e-09 1.406756066599568200e-03 -7.832643167926534034e-03
9.175051506887273297e-05 1.106985779586391685e-05 8.807908660169024291e-09 -4.863516784216592725e-03 -1.864776856076630907e-01
9.113913599897536936e-05 1.051783551966242646e-05 9.114257903623023860e-09 -3.082515501516391865e-03 -1.397604113055130881e-01
9.085095786780581070e-05 1.005718549739682164e-05 9.396150239891091227e-09 -5.403706482312475856e-03 -2.974601688379330255e-01
9.089937425641623429e-05 9.703032206562903621e-06 9.625200644468274750e-09 6.850991993662125523e-03 -3.225974963761615300e-01
9.122981425383506961e-05 9.464145188291756014e-06 9.772296402826075739e-09 6.627571173388524528e-03 -4.769150449498429367e-01
9.174885764003223778e-05 9.344571226884970585e-06 9.815311852544893804e-09 9.396599978335862247e-03 -2.570961462983056833e-01
9.235487942273805872e-05 9.344675820066701761e-06 9.746734688476251745e-09 1.038709377325530703e-02 -2.812546947064049618e-01
9.295672038982903001e-05 9.460959091626102688e-06 9.576825534266525269e-09 1.088476283110817455e-02 -5.933973189331709364e-02
9.348391754803643690e-05 9.684950827233553295e-06 9.332142763495374397e-09 6.937737992013470745e-03 -3.313860000623236601e-02
9.389470306461219053e-05 1.000181505373192029e-05 9.050612550285391396e-09 4.420605212288375441e-03 2.915831870013718685e-01
9.418763102728829539e-05 1.038910691199782637e-05 8.773712286408036801e-09 6.337721712874611057e-04 3.310773642390518745e-01
9.441549622719028938e-05 1.081631620337594171e-05 8.537186018990937278e-09 -1.509865075266292322e-03 5.894135487407794471e-01
9.468014358688746476e-05 1.124662788910401213e-05 8.363012537680910019e-09 -1.450378886216574514e-02 2.007147139932552449e-01
9.508862988282209736e-05 1.164253471032588898e-05 8.255524265417727780e-09 -1.079375509670077449e-02 -1.336013128541502226e-02
