S T U q1 q2 q3
2.134993722844321198e-05 1.934551953472354870e-06 9.741254316471607179e-09 3.913077984734364412e-03 1.501640559377186435e-01 1.540771339224530079e-01
2.135982495384249478e-05 1.936488612759351265e-06 9.718344316048334851e-09 1.824897897680227699e-03 -8.887091809057778846e-04 9.361887167744498139e-04
2.136380016542099484e-05 1.939405928032099927e-06 9.693242301539203444e-09 -4.033395449026810908e-04 -2.167526899878353674e-01 -2.171560295327380485e-01
2.136120727297680501e-05 1.939244740071062764e-06 9.699653566748133066e-09 -1.354098183130481026e-03 1.513556743501514035e-01 1.500015761670209224e-01
2.133173461229644546e-05 1.946474071903660471e-06 9.677112499606031105e-09 3.124136749632633325e-06 2.638965240017423497e-01 2.638996481384919823e-01
2.128949223225443666e-05 1.949923160693775366e-06 9.701314663916467297e-09 -1.218083643100942304e-03 1.332717394914020304e-01 1.320536558483010880e-01
2.123248571157030468e-05 1.954745279214216040e-06 9.732236077627709076e-09 -8.454490684714766058e-04 -3.050725134475840150e-02 -3.135270041322987811e-02
2.118466130303297979e-05 1.958734972466138113e-06 9.758967890150960222e-09 -2.079098180162636256e-03 -1.767746940724777005e-01 -1.788537922526403368e-01
2.119488103001603618e-05 1.952036188005582044e-06 9.814166560734142867e-09 -2.371360313683207321e-03 -1.805512075104935832e-01 -1.829225678241767905e-01
2.124384060076744626e-05 1.947039315938303023e-06 9.796054848555832600e-09 -1.375689545676378467e-03 -2.460808915778631700e-01 -2.474565811235395485e-01
2.136788915525886486e-05 1.931492329943678636e-06 9.784271667207785212e-09 -1.437122525734718659e-03 -8.141499515891048588e-02 -8.285211768464520454e-02
2.153252078399631042e-05 1.913519474555989564e-06 9.745435363457209036e-09 -4.234810433845770383e-04 -9.649406110891334265e-02 -9.691754215229791969e-02
2.170637832370429229e-05 1.897764980508126258e-06 9.672246433499854929e-09 8.999593178238285418e-05 1.223460918099803507e-01 1.224360877417627336e-01
2.186989229159743830e-05 1.883151696454414683e-06 9.604758504507675840e-09 -2.429879120641187384e-04 2.889825709754596517e-01 2.887395830633955329e-01
2.199856969182562336e-05 1.871714114942369646e-06 9.553384457438238562e-09 -8.839764076339906573e-04 1.394055343861460017e-01 1.385215579785120110e-01
2.204920610427870588e-05 1.877340306508987921e-06 9.444278607374883797e-09 -1.711802000655682221e-04 3.652758060389498240e-01 3.651046258388842558e-01
2.207463738364501149e-05 1.874557873478684350e-06 9.437035230435774839e-09 -2.551889231848458728e-03 1.769946878114527777e-01 1.744427985796043190e-01
2.203254654042266543e-05 1.882664925080491976e-06 9.417067098547261502e-09 -2.783368821655918257e-03 2.208153194355872984e-01 2.180319506139313801e-01
2.195881102121490644e-05 1.888542091696649775e-06 9.452125080114901709e-09 -4.287637322987591926e-03 2.291687451618198423e-01 2.248811078388322504e-01
2.184679252170529899e-05 1.897778084537890038e-06 9.504837155847121322e-09 -5.802636312714493094e-03 2.801925786197028145e-01 2.743899423069883214e-01
2.172637943692517978e-05 1.907845974962914553e-06 9.561939422244910351e-09 -5.957321877003152188e-03 -9.821269235522578356e-02 -1.041700142322289357e-01
2.162938936742325478e-05 1.915947957506522263e-06 9.608567646696540607e-09 -4.751019539622092225e-03 -1.016758836471609584e-01 -1.064269031867830506e-01
2.156949418282308752e-05 1.920780674794136886e-06 9.638406300251714857e-09 -2.701543690341146053e-03 -2.403497143900512611e-01 -2.430512580803924072e-01
2.156501686685173756e-05 1.917035938282291254e-06 9.684536770216816056e-09 -1.511546080308512341e-03 9.069973442093370863e-03 7.558427361784858522e-03
2.158068737488825047e-05 1.912591932110831372e-06 9.709582885704418134e-09 -2.143763230877004933e-03 4.416885519855195952e-01 4.395447887546425902e-01
2.159016769725671748e-05 1.911128082299727921e-06 9.707930466110088687e-09 -3.063398469013767222e-03 -4.185735217376596040e-02 -4.492075064277972762e-02
2.160491583051391909e-05 1.909176665128119053e-06 9.703768582747822614e-09 -2.904395456060804293e-03 -5.181993496383618947e-02 -5.472433041989699376e-02
2.160978465832648230e-05 1.912043216350206335e-06 9.672662529375595553e-09 -2.325674610240135998e-03 1.296028489507019543e-01 1.272771743404618183e-01
2.160705368244840790e-05 1.911644588197492935e-06 9.676062773823638159e-09 -3.517516903750017576e-03 3.333143557361974985e-01 3.297968388324474809e-01
2.157285847205752272e-05 1.914089991340965307e-06 9.693439707093823887e-09 -4.983426097234344709e-03 3.870486188721962151e-01 3.820651927749618704e-01
2.148984909001893081e-05 1.921189557420916977e-06 9.734322830269059869e-09 -4.555568273102744703e-03 2.571718213398970221e-01 2.526162530667942496e-01
2.136267777530995307e-05 1.932357871656163476e-06 9.797460654650535546e-09 -4.457984362428585312e-03 2.975687623434097873e-01 2.931107779809811742e-01
2.125957850074612767e-05 1.927331203108708589e-06 9.999097475768530154e-09 -6.733861867953661040e-03 1.103612464306795715e-01 1.036273845627259105e-01
2.110290312317532354e-05 1.941400475328040067e-06 1.007880793016389255e-08 -6.913595142214984390e-03 -1.757463783724055872e-02 -2.448823297945554311e-02
