S T U q1 q2 q3
1.582049488432884239e-06 1.042962447099084060e-06 6.556007714178603699e-09 3.896843402914525190e-04 1.501639742795397581e-01 1.505536586198312210e-01
1.584411363808688459e-06 1.041453861660407159e-06 6.548396859311054422e-09 1.888077710098072515e-04 -4.901277370930046118e-03 -4.712469599920238866e-03
1.586034425862289896e-06 1.040374938875573045e-06 6.542889335629484415e-09 -3.199781760289746591e-05 -2.251508219858600057e-01 -2.251828198034629136e-01
1.585503123098728998e-06 1.040672830204669163e-06 6.546056265757852790e-09 -9.608098402055093024e-05 1.387141839881849137e-01 1.386181030041643558e-01
1.582227667457034581e-06 1.042696814306537911e-06 6.559024264919350134e-09 -7.876995081171345170e-05 2.466577154394915539e-01 2.465789454886798404e-01
1.575361156169932919e-06 1.047193686235188729e-06 6.588487380312708367e-09 -1.680668134788586288e-04 1.117833827963163884e-01 1.116153159828375263e-01
1.566181404046667939e-06 1.053283497255069042e-06 6.627983383998495811e-09 -1.414625930900442752e-04 -5.620298901830089733e-02 -5.634445161139094160e-02
1.558531346292283733e-06 1.058405176803485326e-06 6.661400809071440403e-09 -2.320508079513734778e-04 -2.066836368806086455e-01 -2.069156876885600294e-01
1.556625617427640166e-06 1.059391115699438972e-06 6.667926204494248642e-09 -1.357410556387869671e-04 -2.146186578130819811e-01 -2.147543988687207750e-01
1.564385214659679157e-06 1.054055181237213846e-06 6.635420757962911714e-09 -4.865915128353381913e-05 -2.844686738344250898e-01 -2.845173329857086375e-01
1.581752941151065057e-06 1.042400370330815529e-06 6.563127261367043818e-09 5.099859833828865319e-05 -1.240746713706126769e-01 -1.240236727722743848e-01
1.606181782386829947e-06 1.026465395273524068e-06 6.463863183724853597e-09 2.205370962040792415e-04 -1.432086088426576254e-01 -1.429880717464535600e-01
1.633655804066279591e-06 1.008736108989643526e-06 6.351285395520008080e-09 3.016380438260850283e-04 7.169705235121348608e-02 7.199869039503957457e-02
1.660459953352524441e-06 9.923430884842242074e-07 6.248933827625555046e-09 3.136880345689756211e-04 2.348497390286361508e-01 2.351634270632051160e-01
1.681715975353215873e-06 9.796931821089948845e-07 6.170121963297703405e-09 2.962234131068976206e-04 8.243611285992535898e-02 8.273233627303225313e-02
1.695095071216489437e-06 9.718547724008454346e-07 6.121591635948235286e-09 1.594204662803480610e-04 3.059098395105515067e-01 3.060692599768318756e-01
1.699464507720422370e-06 9.692543747482458885e-07 6.106004915360249443e-09 -1.163586550914641471e-05 1.146512238295720465e-01 1.146395879640629001e-01
1.694463871113284681e-06 9.720123905128439536e-07 6.124214491268439939e-09 -1.274529207854688262e-04 1.544075712309513904e-01 1.542801183101659146e-01
1.681945297357752024e-06 9.791500934488105677e-07 6.170025943868488134e-09 -2.476211263858218992e-04 1.589307441416671907e-01 1.586831230152813688e-01
1.662451371937843413e-06 9.903004919630805386e-07 6.238146563510489576e-09 -3.632124664069043274e-04 2.043090608932214280e-01 2.039458484268145133e-01
1.642291975598709080e-06 1.002671601524058598e-06 6.309591287133597992e-09 -3.641089968039815106e-04 -1.811423380711030262e-01 -1.815064470679070008e-01
1.626322378943311865e-06 1.012833233139117140e-06 6.366620656292287526e-09 -2.597755752692457176e-04 -1.900889086850199305e-01 -1.903486842602891693e-01
1.616590373501326431e-06 1.018869774067400891e-06 6.404564419010335370e-09 -1.065116147283551307e-04 -3.329196776047655959e-01 -3.330261892194939510e-01
1.613204013192230440e-06 1.020932966293005197e-06 6.417533618187816707e-09 7.124229572994314474e-05 -8.722927693295368101e-02 -8.715803463722374134e-02
1.609171966071855433e-06 1.006498849382637155e-06 6.577318923519202214e-09 -5.293727703129663675e-04 3.414733142015240475e-01 3.409439414312110950e-01
1.610955328284910398e-06 1.005302972598528214e-06 6.569490877120760909e-09 -5.890785804075551746e-04 -1.461638420745323685e-01 -1.467529206549399168e-01
1.613643829022225253e-06 1.003547857004548426e-06 6.557987797897484868e-09 -5.678343280360702294e-04 -1.602271295027719589e-01 -1.607949638308080187e-01
1.615981542516801513e-06 1.002014706344793955e-06 6.547955794573690327e-09 -5.864346867288615373e-04 1.676911943459202803e-02 1.618268474786316649e-02
1.615852072263238628e-06 1.002041627286303083e-06 6.548000472352517333e-09 -6.680054176381559905e-04 2.164394681989900704e-01 2.157714627813519248e-01
1.610500159201380094e-06 1.005308152439315822e-06 6.569306657352945881e-09 -7.733864891846034539e-04 2.662415622469609389e-01 2.654681757577763146e-01
1.596780095292690762e-06 1.013911725899956851e-06 6.625481762542525872e-09 -7.411319863703490218e-04 1.332784699099764936e-01 1.325373379236061411e-01
1.575950592047683035e-06 1.027307195765697291e-06 6.712960541918323114e-09 -7.347156047036763893e-04 1.684848992726291073e-01 1.677501836679254343e-01
1.551008303881207975e-06 1.043844039288398250e-06 6.820956612434681624e-09 -6.144089246512725311e-04 -2.135490043408694305e-02 -2.196930935873821558e-02
1.526243905231570567e-06 1.060804606214017752e-06 6.931716642934733054e-09 -6.332150339688272234e-04 -1.534603946502599570e-01 -1.540936096842287772e-01
1.504835531206626285e-06 1.075912636571849344e-06 7.030373361385524700e-09 -4.795594216678855659e-04 -6.563321931432319900e-02 -6.611277873599108457e-02
1.489487356286907605e-06 1.086994557495557454e-06 7.102729966324093325e-09 -3.623546181992093329e-04 -1.913094864485049840e-01 -1.916718410667042072e-01
1.482038257418022755e-06 1.092420553567494107e-06 7.138137652159215193e-09 6.546202033972520207e-06 -1.939989141169480291e-01 -1.939923679149140601e-01
1.484012852639399266e-06 1.090896575106672548e-06 7.128135586628397509e-09 1.610352248611751635e-04 -3.437237258846774779e-01 -3.435626906598163166e-01
1.495254496239826582e-06 1.082624284121042720e-06 7.074045691650551252e-09 3.301140297805073287e-04 -1.310153375453992908e-01 -1.306852235156187869e-01
1.515526073369532908e-06 1.068071808102727946e-06 6.978934088599137199e-09 4.198636983909313780e-04 -1.882484916378803774e-01 -1.878286279394894565e-01
1.541955436978993837e-06 1.049693508953283957e-06 6.858834811938865556e-09 4.408937315656981382e-04 -1.173210316961359467e-02 -1.129120943804789653e-02
1.572021020992258187e-06 1.029547201569309759e-06 6.727187206103251799e-09 3.275606304190478713e-04 -5.428208778398513346e-02 -5.395452715356608558e-02
1.600076316766990235e-06 1.011427154590733904e-06 6.608771720733525910e-09 1.844071478587297475e-04 2.097416732003214435e-01 2.099260803481801663e-01
1.621800702787891925e-06 9.978129266609672172e-07 6.519786870982588201e-09 -1.386795952568534163e-05 2.042074924812506964e-01 2.041936245217250145e-01
1.633372403917475862e-06 9.906795452424876573e-07 6.473139841780951658e-09 -1.877330133863465422e-04 4.556016442436199299e-01 4.554139112302335590e-01
1.634671350775326565e-06 9.898280502126549639e-07 6.467543535308619341e-09 -5.175829496824810305e-04 1.010032570280117170e-01 1.004856740783292290e-01
1.629392979736952612e-06 9.929841169822029317e-07 6.488124635155560616e-09 -4.992016871423164692e-04 -5.624812115088673181e-02 -5.674732283802905175e-02
1.622586351220721405e-06 9.971040019050792249e-07 6.515002546760931873e-09 -4.013380441333959381e-04 -6.712561533065652952e-02 -6.752695337478992199e-02
1.618028770935855339e-06 9.998615185422316438e-07 6.532979152868520558e-09 -3.023993657693471726e-04 -1.779665989991556785e-01 -1.782689983649250187e-01
1.619420218622552674e-06 9.989382745511099261e-07 6.526916700468871014e-09 -3.569670637060609608e-05 -1.733768289387604966e-02 -1.737337960024665576e-02
1.627412413954446576e-06 9.939691019017493374e-07 6.494410245923199189e-09 5.525937376535047796e-05 -2.206773426926442738e-01 -2.206220833188789199e-01
1.641090068329633481e-06 9.856216872887121718e-07 6.439833990838976489e-09 1.104138040073157634e-04 -2.209025871271030894e-01 -2.207921733230957806e-01
1.659765364696022547e-06 9.744689371265418771e-07 6.366931311060774245e-09 2.122002367034164783e-04 5.786256233944797600e-02 5.807476257615139248e-02
1.679711325456588120e-06 9.628355327034181434e-07 6.290888309607404050e-09 1.692771055065642183e-04 1.874295395539569142e-01 1.875988166594634854e-01
1.698835519932578122e-06 9.519356487317895374e-07 6.219636901485318269e-09 3.741100322386670118e-05 -1.107023122807113680e-01 -1.106649012774875013e-01
1.726015023519147597e-06 9.612572126981959351e-07 5.989008243200871538e-09 8.262813900013522839e-04 1.734075083901061021e-01 1.742337897801074509e-01
1.732928378115002708e-06 9.573575498171604186e-07 5.964720270321677118e-09 5.287741466144108005e-04 2.167298418509471247e-01 2.172586159975615216e-01
1.728746851242762267e-06 9.596145829863275679e-07 5.978791003451289198e-09 2.374611273192467342e-04 3.888378471252487145e-01 3.890753082525679751e-01
1.714437161002053912e-06 9.675875300005809959e-07 6.028415710205245296e-09 -3.853051471560536845e-05 1.635754254807562091e-01 1.635368949660405968e-01
1.692040312946054880e-06 9.803714752676896623e-07 6.108070559808216515e-09 -3.186761091845367877e-04 1.532592767772591458e-01 1.529406006680746055e-01
1.666842027754496460e-06 9.951827262351850873e-07 6.200353381139867043e-09 -3.396792077726175363e-04 -3.226573356597075559e-01 -3.229970148674801700e-01
1.643102488768066516e-06 1.009558140440532543e-06 6.289919110522619426e-09 -4.226858349757819933e-04 -8.730857983309192605e-03 -9.153543818284974598e-03
1.624242456768707923e-06 1.021272174684102914e-06 6.362904887955121935e-09 -3.167046719877199268e-04 4.274794190800967897e-02 4.243123723602196251e-02
1.611682117100951921e-06 1.029207679662314795e-06 6.412352214334156139e-09 -2.659388227953668471e-04 -2.510793349166746680e-01 -2.513452737394700209e-01
1.608575471423924324e-06 1.031141076667477731e-06 6.424408052248339301e-09 -2.078098166305060446e-04 -3.732998274059937671e-01 -3.735076372226242558e-01
1.614761055743724419e-06 1.027126458853623845e-06 6.399406043367433734e-09 -1.385394024596489637e-04 -1.935994391522619651e-01 -1.937379785547216071e-01
1.629289900320168933e-06 1.017902717167904415e-06 6.341952546952810129e-09 -8.036510561280213460e-05 -9.844382465859347064e-02 -9.852418976420626584e-02
1.646794571688082505e-06 1.007018870687968317e-06 6.274156665725565306e-09 -8.108454657608163418e-05 1.333514068326451252e-01 1.332703222860690540e-01
1.661057129123407923e-06 9.983090278165425815e-07 6.219903060338900013e-09 -1.293963446327324462e-04 2.130752862376308343e-01 2.129458898929980915e-01
1.666809268663494909e-06 9.948012704505242667e-07 6.198058385572588627e-09 -2.278053128798758487e-04 3.596091737306057468e-01 3.593813684177258883e-01
1.664011968361762135e-06 9.964166965763450438e-07 6.208145591166005694e-09 -5.450817081702266642e-04 7.722640379361145335e-02 7.668132208544123363e-02
1.655618396653289304e-06 1.001426445219600660e-06 6.239368232203121019e-09 -5.302311966029725487e-04 4.885239251874118338e-02 4.832216132213820736e-02
1.646790227216581951e-06 1.006755742643107233e-06 6.272582073539473357e-09 -7.231815791697467077e-04 -2.223111416969327792e-01 -2.230343232761025363e-01
1.639158585629046183e-06 1.011402028511483931e-06 6.301541030492812262e-09 -7.281434064787921379e-04 -9.415259063619529911e-02 -9.488073404267409472e-02
1.632616686803946724e-06 1.015411691846522403e-06 6.326534040923035000e-09 -7.516801648473278585e-04 7.086915976360153024e-02 7.011747959875419545e-02
1.622629151179762529e-06 1.021631095257211214e-06 6.365292233073149121e-09 -7.157414563187247669e-04 3.531594001251203707e-01 3.524436586688016737e-01
1.611365323084532654e-06 1.028748770508152517e-06 6.409646471996256768e-09 -1.009360402164434511e-03 4.948042856337764306e-03 3.938682454173329794e-03
1.614967182039611241e-06 1.026389244512172003e-06 6.394996241239655200e-09 -1.089270431163975872e-03 -3.792600522860869461e-01 -3.803493227172509150e-01
1.647685843890413436e-06 1.005944270153620276e-06 6.267642066836119354e-09 -8.238425213002789627e-04 -1.601174878766912002e+00 -1.601998721288212302e+00
1.716641836652176129e-06 9.654725203603777492e-07 6.015528470109770814e-09 -9.168084619774995170e-04 -1.808148139790564102e+00 -1.809064948252541605e+00
1.812283374598997384e-06 9.144676292565018894e-07 5.697724894577150271e-09 -9.526358211815154353e-04 1.230593044241684808e+00 1.229640408420503261e+00
1.905654918887748730e-06 8.696237144014756708e-07 5.418214940654296691e-09 -9.837265539663700431e-04 1.477624190630895562e+00 1.476640464076929282e+00
1.973701809156907291e-06 8.396062367965783082e-07 5.231086611311554388e-09 -1.228964439419725357e-03 4.943193216425001424e-01 4.930903572030804205e-01
2.010486019786279784e-06 8.242004311453975037e-07 5.135068535923845683e-09 -1.159141313560776987e-03 9.460144230494105244e-02 9.344230099138027545e-02
2.025471774997191793e-06 8.180538912811222704e-07 5.096774004028805510e-09 -1.084100455632244775e-03 -1.643392145842543783e-01 -1.654233150398866092e-01
2.038312763749335171e-06 8.128517600221741658e-07 5.064365536161538618e-09 -9.305941848331902855e-04 -2.912424659268886273e-02 -3.005484077752205302e-02
2.051758259855906340e-06 8.074768734151184207e-07 5.030880099547018870e-09 -9.851364538394392911e-04 -7.434057640541436029e-02 -7.532571285925379612e-02
2.062835754647011057e-06 8.030925384365033103e-07 5.003568130953068882e-09 -1.090741105085449997e-03 2.220839069027444879e-01 2.209931657976590413e-01
2.065709029174290169e-06 8.019266612370234753e-07 4.996314668961207982e-09 -9.098485250247680123e-04 4.459823136668283894e-01 4.450724651418035971e-01
2.060818704195033052e-06 8.037806823193892847e-07 5.007875281503163718e-09 -5.196421647736398919e-04 -1.221110354282179955e-01 -1.226306775929916354e-01
2.054881219458438123e-06 8.060540364932087804e-07 5.022048745402921471e-09 -2.860260891051590038e-04 8.040710804210160489e-02 8.012108195299644242e-02
2.056370998849442707e-06 8.054209300121821937e-07 5.018116256138223272e-09 -7.899434888474290983e-05 -5.827004915463449564e-01 -5.827794858952296542e-01
2.066277407393738092e-06 8.015113685112745078e-07 4.993761922282030632e-09 5.526994262968279448e-05 -3.098723305669492945e-01 -3.098170606243196290e-01
2.082577727919667681e-06 7.951910387734162770e-07 4.954381437253571161e-09 1.952406040455628711e-04 1.919190361385787469e-01 1.921142767426243236e-01
2.090668374095820176e-06 7.920660466500494812e-07 4.934916273842437874e-09 -1.320004124045343064e-05 8.269012363241161623e-01 8.268880362828756603e-01
2.083433761389338906e-06 7.947679394694645737e-07 4.951759871393789727e-09 -3.586943343991191857e-04 1.119575814966111693e-02 1.083706381526199775e-02
2.055457553496003146e-06 8.055320752978969848e-07 5.018864037941848058e-09 -3.639090085130435026e-04 4.643507522096301798e-01 4.639868432011171606e-01
2.004979656520459150e-06 8.257495053563030297e-07 5.144932562355378354e-09 -9.679256174430911353e-05 2.059379711251079215e-01 2.058411785633636193e-01
1.936668286076375233e-06 8.427707465732265576e-07 5.427598107989002966e-09 -5.559063962005290904e-04 4.729166757258678189e-01 4.723607693296673071e-01
1.858223960351369533e-06 8.782797042766019825e-07 5.656390979980226628e-09 -1.570312887784024170e-04 4.163947197257140687e-01 4.162376884369356489e-01
1.781072115461162584e-06 9.162616326745096648e-07 5.901057663143403176e-09 -1.387659342294914055e-04 -6.969018341035315700e-01 -6.970406000377610267e-01
1.721043865601173696e-06 9.481631552643819036e-07 6.106502395171593628e-09 1.182900677581047444e-05 -4.850161520042615138e-01 -4.850043229974856929e-01
1.685187404377499103e-06 9.683229402494129827e-07 6.236306164001398740e-09 -4.296620487253405285e-05 -7.999989645353409173e-01 -8.000419307402134583e-01
