S T U q1 q2 q3
3.687831955309834124e-06 1.155544077621600742e-06 7.043032515001048826e-09 1.232803762831378991e-03 1.501614489422671284e-01 1.513942527050985143e-01
3.691852126932498092e-06 1.154068010396232793e-06 7.037421961453969202e-09 7.568361498663800369e-04 -3.609491147317456239e-03 -2.852654997451076202e-03
3.694659112398587321e-06 1.152989237332624586e-06 7.033739394941847595e-09 2.340765121001328608e-04 -2.227010687095276609e-01 -2.224669921974275211e-01
3.693422927156062351e-06 1.153241751256893414e-06 7.036930385177864486e-09 8.359982684279926302e-05 1.416842162939406791e-01 1.417678161207834853e-01
3.687149735154835846e-06 1.155003977220056916e-06 7.050536863681091872e-09 1.107076231650072629e-04 2.509571091921305452e-01 2.510678168152955525e-01
3.673543297438307257e-06 1.159141355992393152e-06 7.076972650826651871e-09 -9.569060697970505069e-05 1.159479844147277561e-01 1.158522938077480580e-01
3.655407351588411620e-06 1.164783939229457122e-06 7.111881959749570755e-09 -2.780466264489661610e-05 -5.257311346866799795e-02 -5.260091813131289457e-02
3.640228659168498344e-06 1.169472880391329930e-06 7.142716233279640309e-09 -2.428814933514503172e-04 -2.024161172602632064e-01 -2.026589987536146498e-01
3.630821031639511765e-06 1.158224044185025198e-06 7.274883428800372409e-09 -1.012238673084892016e-03 -2.099536424779611110e-01 -2.109658811510460030e-01
3.645985699643195966e-06 1.153221738352517858e-06 7.245673955861143202e-09 -8.199034492240436789e-04 -2.792007286401130273e-01 -2.800206320893370848e-01
3.679966541120698373e-06 1.142369418562925058e-06 7.179681342548693951e-09 -6.062166883215730495e-04 -1.181748255094845490e-01 -1.187810421978061221e-01
3.727562729911359072e-06 1.127562157067333464e-06 7.088781769280645094e-09 -2.370029670403159261e-04 -1.366547049170332429e-01 -1.368917078840735657e-01
3.782186981532371717e-06 1.111043347707229782e-06 6.987059786912392190e-09 -8.974750171983347791e-05 7.910558374645582091e-02 7.901583624473598744e-02
3.833878787675704510e-06 1.095825013929962292e-06 6.893457546767610956e-09 -9.122171437049575449e-05 2.429206911236025945e-01 2.428294694092321127e-01
3.874619236617835186e-06 1.084070108210993909e-06 6.821597008578848510e-09 -1.562206119779113722e-04 9.115591439582182431e-02 9.099969378384391294e-02
3.900126116917613255e-06 1.076761415975739298e-06 6.777683603749581198e-09 -4.889540743213058316e-04 3.152685173845863886e-01 3.147795633102650759e-01
3.908382999825650006e-06 1.074288586772343196e-06 6.764190969205885483e-09 -8.926143433195046772e-04 1.246334496911760681e-01 1.237408353478565703e-01
3.898763026603746633e-06 1.076767687786618746e-06 6.781876093054357286e-09 -1.161364885768172150e-03 1.650121145340648354e-01 1.638507496482966563e-01
3.874749710701400506e-06 1.083536939320467015e-06 6.820481965322949066e-09 -1.400268967237203177e-03 1.665186423987847775e-01 1.651183734315475604e-01
3.838443646746184883e-06 1.093974402331472078e-06 6.880840276729854356e-09 -1.637473739768934011e-03 2.091949745260244242e-01 2.075575007862554833e-01
3.799673701599368575e-06 1.105398365095556894e-06 6.946342571429009407e-09 -1.630801995638045399e-03 -1.776603694067304673e-01 -1.792911714023684988e-01
3.768685390428808483e-06 1.114811506570392541e-06 6.998199888708832496e-09 -1.380512641982585553e-03 -1.881109387160027069e-01 -1.894914513579852855e-01
3.749752477196864812e-06 1.120354287011196489e-06 7.033626229871953057e-09 -1.021157756792935578e-03 -3.308469271785661192e-01 -3.318680849353590756e-01
3.743165050663265408e-06 1.122223163312659858e-06 7.045990528352675258e-09 -6.093853879635402482e-04 -8.507796900885367108e-02 -8.568735439681721133e-02
3.744525646418492684e-06 1.122179724280982810e-06 7.037272461752220245e-09 -5.193585149776275278e-04 3.421441405315519546e-01 3.416247820165743132e-01
3.747975422532958998e-06 1.121054582321463345e-06 7.030465735730760042e-09 -6.593163868060317179e-04 -1.454665128044627664e-01 -1.461258291912687912e-01
3.753168909409274564e-06 1.119412019417915794e-06 7.020401844450288979e-09 -6.108110757646542655e-04 -1.595050105876190116e-01 -1.601158216633836728e-01
3.757683495155174306e-06 1.117975167423055424e-06 7.011638692509929178e-09 -6.549996947975630923e-04 1.751707835817128966e-02 1.686207866337372657e-02
3.757430219174954917e-06 1.117980747500534710e-06 7.011839894308609048e-09 -8.463084381792954081e-04 2.172139977378666487e-01 2.163676892996873602e-01
3.747122306486507673e-06 1.120982536966538401e-06 7.030903999874805616e-09 -1.094081369303924467e-03 2.670419960171184215e-01 2.659479146478144762e-01
3.720623027541411809e-06 1.128922282822366758e-06 7.080951103360531228e-09 -1.023740797394583069e-03 1.340994233714241091e-01 1.330756825740295191e-01
3.680147570970768058e-06 1.141730715991585413e-06 7.153790642605805378e-09 -9.762817110357882577e-04 1.686684549532948552e-01 1.676921732422590738e-01
3.631494594872267710e-06 1.157040946562872856e-06 7.249743509198358953e-09 -7.016684181572127588e-04 -2.117729279766855655e-02 -2.187896121582576930e-02
3.582891524602337616e-06 1.172757702500749894e-06 7.348241625842569017e-09 -7.523357558266996481e-04 -1.532897968616158124e-01 -1.540421326174425121e-01
3.540634439257788677e-06 1.186770270162297606e-06 7.436054650284967458e-09 -3.967426802765142146e-04 -6.546877861044997360e-02 -6.586552129072648087e-02
3.510202902255369016e-06 1.197056011598456659e-06 7.500501876695809672e-09 -1.243083264783895192e-04 -1.911488432572188145e-01 -1.912731515836972040e-01
3.495396701581714087e-06 1.202092618833579742e-06 7.532049548013956845e-09 7.440482174137508231e-04 -1.938398163988903633e-01 -1.930957681814766125e-01
3.499311610685631748e-06 1.200553399081007090e-06 7.524582419937696870e-09 1.098506196766976806e-03 -3.434367428183620063e-01 -3.423382366215950157e-01
3.521665518118934599e-06 1.192863736413689835e-06 7.476426121174666039e-09 1.497116326182809654e-03 -1.307240780572715977e-01 -1.292269617310887742e-01
3.561810696089665405e-06 1.179352189580180070e-06 7.391768921500579820e-09 1.708162058716232445e-03 -1.879568855121860338e-01 -1.862487234534697944e-01
3.613843986526384098e-06 1.162307187914519447e-06 7.284954190897152655e-09 1.756925871138320661e-03 -1.144336965750269997e-02 -9.686443786364379305e-03
3.672622830619003011e-06 1.143642754686012010e-06 7.167981476359723161e-09 1.491135398244615440e-03 -5.399896929879233198e-02 -5.250783390054771654e-02
3.727082872048841172e-06 1.126870191634932227e-06 7.062869099876522361e-09 1.157145639360472600e-03 2.100186937775951890e-01 2.111758394169556685e-01
3.769001437861157922e-06 1.114274699181931544e-06 6.983947543351428815e-09 6.963557882396567700e-04 2.044803020268819438e-01 2.051766578151215936e-01
3.791243503284569356e-06 1.107673549607952685e-06 6.942609419036909247e-09 2.930338116511332913e-04 4.558741490804969487e-01 4.561671828921480820e-01
3.793783692825182171e-06 1.106957763224288123e-06 6.936853474384622663e-09 -4.657726443900792046e-04 1.011987256661264212e-01 1.007329530217363489e-01
3.783667797927019805e-06 1.109869196121504567e-06 6.955113870189098097e-09 -4.243637895398402748e-04 -5.604902597044514323e-02 -5.647338975998498350e-02
3.770601981549336694e-06 1.113672185255889531e-06 6.978962761671719973e-09 -1.984902600086768665e-04 -6.692344799217408990e-02 -6.712193825218276677e-02
3.761844750219031755e-06 1.116215996061882539e-06 6.994919250543497205e-09 3.051187306994662674e-05 -1.777601317759600619e-01 -1.777296199028901014e-01
3.764532885119651329e-06 1.115356696490091340e-06 6.989547286475070576e-09 6.504410382798531121e-04 -1.712849649726067014e-02 -1.647805545898081703e-02
3.779911874135826913e-06 1.110757131298435592e-06 6.960733743447611788e-09 8.619457327827123594e-04 -2.204678557450421295e-01 -2.196059100122594310e-01
3.806158501699168734e-06 1.103037125686149795e-06 6.912359907437476885e-09 9.901591311295490638e-04 -2.206958918521344515e-01 -2.197057327210049094e-01
3.841857690948909045e-06 1.092728620685818637e-06 6.847758224021841339e-09 1.225937433417652322e-03 5.806338388793896854e-02 5.928932132135662086e-02
3.879815333471111395e-06 1.081980050687102990e-06 6.780396697473457942e-09 1.126368243334764652e-03 1.876231293579557757e-01 1.887494976012905334e-01
3.916039817892268937e-06 1.071913802304354339e-06 6.717312220918306761e-09 8.220351037907386305e-04 -1.104542547328080104e-01 -1.096322196290172718e-01
3.943486224857595895e-06 1.064395258942890692e-06 6.670199373413258919e-09 7.506610955213058323e-04 1.734318757251998022e-01 1.741825368207211011e-01
3.956658228073227949e-06 1.060792901406406249e-06 6.647634946562093914e-09 6.355713364329662607e-05 2.167323667907012918e-01 2.167959239243446024e-01
3.984417226586877725e-06 1.100454439644998747e-06 6.350424627837551174e-09 2.699694261017432373e-03 3.892508987606415616e-01 3.919505930216590217e-01
3.957802752964155860e-06 1.107815984929481407e-06 6.392995264264152172e-09 2.052736185211768982e-03 1.639949423892925751e-01 1.660476785745043371e-01
3.915971702766401676e-06 1.119630793131005761e-06 6.461286038549495231e-09 1.387924794540577877e-03 1.536893656976019429e-01 1.550772904921425277e-01
3.868639988446790723e-06 1.133323512388186274e-06 6.540425025357090967e-09 1.318470759400516834e-03 -3.222172907732332447e-01 -3.208988200138327418e-01
3.823784955548531211e-06 1.146617817853712545e-06 6.617262974623615942e-09 1.105279046933908826e-03 -8.282286567828478496e-03 -7.177007520894569670e-03
