S T U q1 q2 q3
3.039318257503091143e-05 2.350198426199098452e-06 1.038462550617515780e-08 7.356361177357773062e-03 8.426005437264016962e-02 9.161641554999794268e-02
3.039419325615157441e-05 2.352554113645975301e-06 1.038549601105037956e-08 3.695694203352917206e-03 -6.873046928882686757e-03 -3.177352725529769550e-03
3.041819994965864617e-05 2.357424852200792569e-06 1.039615157037252419e-08 -4.460963380683580226e-04 -1.394578388325715679e-01 -1.399039351706399259e-01
3.039554088325954355e-05 2.360562991422339104e-06 1.040955745517503940e-08 -1.630964081894947793e-03 2.931422877932039484e-01 2.915113237113090006e-01
3.039587779937252620e-05 2.364069099739035591e-06 1.042838196822279647e-08 -1.409244550909960481e-03 4.265661133410336703e-01 4.251568687901237098e-01
3.041538099051721702e-05 2.366521377744400146e-06 1.044888739025668288e-08 -3.284576005676609345e-03 2.307204101987050393e-01 2.274358341930284300e-01
3.039587779937259057e-05 2.369641506511684708e-06 1.046555989881599473e-08 -2.633018998957237233e-03 -1.758304820470257823e-02 -2.021606720365981547e-02
3.039554088325954355e-05 2.368129253706528770e-06 1.048644950251385292e-08 -4.807914982800476356e-03 -2.721108581276912020e-01 -2.769187731104916783e-01
3.039497936470322417e-05 2.360128292476631577e-06 1.050198335901888339e-08 -3.896678776948103717e-03 -3.532192504913265196e-01 -3.571159292682746234e-01
3.039419325615157441e-05 2.346429742629409211e-06 1.050716387614790990e-08 -3.544761192095458036e-03 -4.128043929503419918e-01 -4.163491541424374498e-01
3.039318257503091143e-05 2.327395981584670502e-06 1.049390383402403497e-08 -3.178558315049484495e-03 -1.717137704641213958e-01 -1.748923287791708803e-01
3.039318257503091143e-05 2.305458162544052493e-06 1.046244434533433889e-08 -1.496736603450343761e-03 -6.582635522135404926e-02 -6.732309182480439302e-02
3.039318257503091143e-05 2.283794252266087310e-06 1.041435838659346682e-08 -1.312507751093539010e-03 2.937771549683549921e-01 2.924646472172614531e-01
3.039318257503091143e-05 2.265428981038965567e-06 1.035677002120110646e-08 -1.799847511099794684e-03 5.806934333782169944e-01 5.788935858671171442e-01
3.039318257503091143e-05 2.253228221250458397e-06 1.029614696790909028e-08 -2.091271576378395114e-03 5.093338420112143439e-01 5.072425704348360043e-01
3.039318257503091143e-05 2.248624937278891199e-06 1.024367746693068930e-08 -3.887436294144064330e-03 7.797371877487950798e-01 7.758497514546509599e-01
3.043117695376958688e-05 2.252719359510362837e-06 1.021253483882752457e-08 -5.969761265564088593e-03 6.060616533135156914e-01 6.000918920479516583e-01
3.045130627666112408e-05 2.262251440313034109e-06 1.019774135698190316e-08 -6.793363965579612973e-03 6.184236039205028845e-01 6.116302399549232716e-01
3.039318257503091143e-05 2.271421561490937905e-06 1.020422906806607553e-08 -7.949582594412918368e-03 5.685128127582501634e-01 5.605632301638372450e-01
