S T U q1 q2 q3
4.163110611293722710e-06 1.172759360509289977e-06 7.160848442518880996e-09 1.125688268746795340e-03 6.413831518770685136e-02 6.526400345645363976e-02
4.157234569210492896e-06 1.174562250753025856e-06 7.171819376962956215e-09 5.929513454501558756e-04 -4.770842570120947812e-04 1.158670884380610944e-04
4.159844568835893893e-06 1.173987770670442886e-06 7.168072077409073662e-09 2.092377597857908444e-05 -2.113899163290611227e-01 -2.113689925530825575e-01
4.160838443548372357e-06 1.173887108757385021e-06 7.166999876222118126e-09 -1.341425923471403769e-04 1.382104665100207797e-01 1.380763239176736323e-01
4.154635910358599900e-06 1.175785398207012316e-06 7.178545237259290154e-09 -8.602001037438106179e-05 2.463297011606595532e-01 2.462436811502851652e-01
4.140399383927133653e-06 1.179974120042462675e-06 7.204077221383478421e-09 -3.104583979308128683e-04 1.113702798733484656e-01 1.110598214754176527e-01
4.121188565399521250e-06 1.185620679185166564e-06 7.238512132282466590e-09 -2.296801198599235372e-04 -5.670354134328547957e-02 -5.693322146314540311e-02
4.105207982355805973e-06 1.190383018132967111e-06 7.267546571678690277e-09 -4.580766929146301569e-04 -2.072715975225438712e-01 -2.077296742154585152e-01
4.102416514079131801e-06 1.191340675870316175e-06 7.273349474357251870e-09 -2.020941094899586510e-04 -2.152223946305777957e-01 -2.154244887400677544e-01
4.119553778692917161e-06 1.186532280942417311e-06 7.243945848090127143e-09 3.119097185597108357e-05 -2.851423484492840998e-01 -2.851111574774281010e-01
4.157151199620092797e-06 1.175942345680108181e-06 7.179316136983490008e-09 2.928609773271487193e-04 -1.248217447754047527e-01 -1.245288837980776109e-01
4.209538824092596274e-06 1.161448579141387528e-06 7.090844563855571901e-09 7.335528050776626841e-04 -1.440177128520847560e-01 -1.432841600470070864e-01
4.269541286258695298e-06 1.145271442234674317e-06 6.992021555185587084e-09 9.256992597691041103e-04 7.103917437460083306e-02 7.196487363436993023e-02
4.326335655688884102e-06 1.130380031956884115e-06 6.901051304985630001e-09 9.494170634723742008e-04 2.341639068771836918e-01 2.351133239406560660e-01
4.371235462542092472e-06 1.118909612246210800e-06 6.830976213115193404e-09 8.990456111624134383e-04 8.172290565399009665e-02 8.262195126515251009e-02
4.399615377281460119e-06 1.111830064060871696e-06 6.787718157948564246e-09 5.431408852662467091e-04 3.051665382264996396e-01 3.057096791117658863e-01
4.409297451320054405e-06 1.109525392366100263e-06 6.773617789682884495e-09 1.030148775902212099e-04 1.138623712742479199e-01 1.139653861518381411e-01
4.399593327479364131e-06 1.112109229482957043e-06 6.789364918740325326e-09 -1.896109857736361093e-04 1.535654636978911469e-01 1.533758527121175108e-01
4.374257370870036599e-06 1.118686448873096733e-06 6.829501549837277566e-09 -4.915224017928571110e-04 1.580287167963128070e-01 1.575371943945199638e-01
4.335537861950398336e-06 1.128811919390211172e-06 6.891314513178278847e-09 -8.025525106459263647e-04 2.037906694296900412e-01 2.029881169190441148e-01
4.294088924723284134e-06 1.139843477195121803e-06 6.958662256835920186e-09 -8.440684359284078564e-04 -1.802640646617099662e-01 -1.811081330976383741e-01
4.261057994537847753e-06 1.148817730132638435e-06 7.013439530807851370e-09 -6.127495230984700281e-04 -1.884413597001604046e-01 -1.890541092232588816e-01
4.241123382277639025e-06 1.154358425998427989e-06 7.047243239133879152e-09 -2.072602367668777146e-04 -3.311727443412575411e-01 -3.313800045780244119e-01
4.234624507011151335e-06 1.156272111193868052e-06 7.058897792090212175e-09 2.605959991237027928e-04 -8.539675288479031678e-02 -8.513615688566661399e-02
4.233129318011409549e-06 1.146635218719052218e-06 7.144506326198189976e-09 -5.325376353717131694e-04 3.435470027859448550e-01 3.430144651505731557e-01
4.237579143503777219e-06 1.145573311070191662e-06 7.137841781210689981e-09 -6.894985914232057422e-04 -1.440048334396895058e-01 -1.446943320311127046e-01
4.243934739104596767e-06 1.144000678397019693e-06 7.127981188096088471e-09 -6.334085594422722565e-04 -1.579853544441203184e-01 -1.586187630035625906e-01
4.249549138100436808e-06 1.142631084773592408e-06 7.119399313344212293e-09 -6.821283516856777029e-04 1.909610465951239178e-02 1.841397630782671407e-02
4.249952635963438348e-06 1.142685867033619121e-06 7.119611762378195099e-09 -8.971941828590929147e-04 2.188513302864940613e-01 2.179541361036349545e-01
4.239311211693578020e-06 1.145697194485983546e-06 7.138311916707891270e-09 -1.176013071165375734e-03 2.687549201355938777e-01 2.675789070644284950e-01
4.210859590623513601e-06 1.153580625317378773e-06 7.187378531205709542e-09 -1.094731599063203387e-03 1.359171809197565750e-01 1.348224493206933716e-01
4.167074653839805793e-06 1.165843009662021230e-06 7.263743635826084747e-09 -1.083320173040622225e-03 1.712699696833492879e-01 1.701866495103086518e-01
4.114142323484836182e-06 1.180984113720746762e-06 7.358054889257421671e-09 -7.710509711142607414e-04 -1.841207670512368111e-02 -1.918312767623794185e-02
4.061190779743086631e-06 1.196525932290339543e-06 7.454859759654230446e-09 -8.271909980539574048e-04 -1.503610727977715555e-01 -1.511882637958255060e-01
4.015173300820178860e-06 1.210386222479224647e-06 7.541175713925940558e-09 -4.228641007711017585e-04 -6.238679234568600407e-02 -6.280965644645711277e-02
3.982167308039667570e-06 1.220568985444984578e-06 7.604563092386668319e-09 -1.129172071168069169e-04 -1.879310018462749809e-01 -1.880439190533917948e-01
3.966406337604291363e-06 1.225571999288914608e-06 7.635665878574343678e-09 8.729430756420908377e-04 -1.905092829425800716e-01 -1.896363398669379807e-01
3.971247177607543399e-06 1.224051464924268557e-06 7.628418321265607400e-09 1.274990007250995094e-03 -3.405070046654667948e-01 -3.392320146582157858e-01
3.996414802275606401e-06 1.216491340693803046e-06 7.581286934468638285e-09 1.726589795457471321e-03 -1.277143703783156781e-01 -1.259877805828581998e-01
4.041114488109887471e-06 1.203183821474889705e-06 7.498327014736328876e-09 1.964398604080257182e-03 -1.848660420753436284e-01 -1.829016434712633643e-01
4.098808845885762939e-06 1.186345139931866183e-06 7.394004561156426984e-09 2.013885626263360595e-03 -8.367925832255096452e-03 -6.354040205991735857e-03
4.163878692068103414e-06 1.167951488649459836e-06 7.279334890819050663e-09 1.709656271102900915e-03 -5.084401766868751338e-02 -4.913436139758461246e-02
4.224161898605686788e-06 1.151472356946229396e-06 7.175897068726375929e-09 1.332522450588451146e-03 2.133388663829336451e-01 2.146713888335221032e-01
4.270678622010841381e-06 1.139071360274498713e-06 7.098584313844869568e-09 8.086243844644264156e-04 2.078766993396552465e-01 2.086853237241196868e-01
4.295649742449168256e-06 1.132587941050896464e-06 7.058164078143562618e-09 3.508156796414307887e-04 4.593469697148595543e-01 4.596977853945010128e-01
4.299018735696198119e-06 1.131945711452753114e-06 7.052532593849375561e-09 -5.074541135915711099e-04 1.050411070972607774e-01 1.045336529836692063e-01
4.288535347786383802e-06 1.134852278852005910e-06 7.070599140128183900e-09 -4.602018689282630359e-04 -5.210889870840240690e-02 -5.256910057733066993e-02
4.274800481694331199e-06 1.138638291538500433e-06 7.094146378766880870e-09 -2.036971322190439526e-04 -6.288092478684426112e-02 -6.308462191906330507e-02
4.265797402964422808e-06 1.141181772741393037e-06 7.109949945767474202e-09 5.632161944278679666e-05 -1.736218003556171396e-01 -1.735654787361743390e-01
4.269370752768974562e-06 1.140367646991758344e-06 7.104827162056068177e-09 7.593786762229645659e-04 -1.290382652250876561e-02 -1.214444784628580104e-02
4.286840147917441106e-06 1.135860948401746039e-06 7.076700539942044523e-09 9.987618472962409011e-04 -2.161618178928197409e-01 -2.151630560455234931e-01
4.316203639564746124e-06 1.128273901577671964e-06 7.029377458721668293e-09 1.143175538833231253e-03 -2.163121045003855158e-01 -2.151689289615522915e-01
4.355861440483582940e-06 1.118019373159658514e-06 6.967039675563349147e-09 1.399305438981743310e-03 6.229428482490284580e-02 6.369359026388458911e-02
4.398013943840598398e-06 1.107440498755207511e-06 6.901084793741184833e-09 1.284516656905557164e-03 1.919268157822706655e-01 1.932113324391762088e-01
4.438245322416766467e-06 1.097565152449308723e-06 6.839069585039657677e-09 9.405763931331079242e-04 -1.060277792298567334e-01 -1.050872028367236255e-01
4.468881044730412558e-06 1.090174958278580414e-06 6.792988887456514688e-09 8.584046676607462456e-04 1.779312938150638956e-01 1.787896984827246349e-01
4.483918078353897249e-06 1.086651519029186119e-06 6.771009851447764309e-09 7.913559825788174518e-05 2.213210017151912012e-01 2.214001373134490969e-01
4.512741903206298338e-06 1.127583934797580377e-06 6.471211706321086927e-09 3.036493109642587895e-03 3.932418133044670583e-01 3.962783064141096601e-01
4.484221052343926624e-06 1.134886592972185657e-06 6.513157550172944358e-09 2.306120972332431629e-03 1.680780566021660150e-01 1.703841775744984466e-01
4.438970645448937951e-06 1.146584180281809724e-06 6.580348797247909261e-09 1.555998380893784672e-03 1.578928795693226306e-01 1.594488779502164222e-01
4.387621065576051651e-06 1.160136108772750727e-06 6.658142728847333212e-09 1.481032213989992574e-03 -3.179107815735431330e-01 -3.164297493595531474e-01
4.338916270962287893e-06 1.173289710140427475e-06 6.733697731207550561e-09 1.242337251539077370e-03 -3.858618877877972864e-03 -2.616281626338895494e-03
4.300096599072788687e-06 1.184016333512133560e-06 6.795310772241828304e-09 1.506547676139780023e-03 4.773798773010717866e-02 4.924453540624695869e-02
4.274322797068448200e-06 1.191293620985533499e-06 6.837114115414144525e-09 1.630578763822200516e-03 -2.459809205691687595e-01 -2.443503418053465659e-01
4.268403475701925700e-06 1.193222735916958543e-06 6.846332103546494402e-09 1.794201971153645825e-03 -3.678829949538240385e-01 -3.660887929826703857e-01
4.281983620997093431e-06 1.189581049761052309e-06 6.825424180568200081e-09 1.982911557696080684e-03 -1.880970729370865513e-01 -1.861141613793904637e-01
4.312962746237341389e-06 1.181178443340180141e-06 6.777201453567415507e-09 2.148124558094537118e-03 -9.286831545761131679e-02 -9.072019089951677273e-02
4.349989427975654625e-06 1.171238230199557451e-06 6.720456644464726482e-09 2.157157559235796385e-03 1.389502469449848121e-01 1.411074045042206015e-01
4.380163423741008977e-06 1.163309183295989211e-06 6.674953704555477538e-09 2.040091269904342752e-03 2.187396512952002325e-01 2.207797425651045753e-01
4.392676475262612185e-06 1.160134068337052872e-06 6.656726038391202536e-09 1.785013112083587428e-03 3.653668245606098708e-01 3.671518376726934374e-01
4.387513472237491607e-06 1.161640355822480197e-06 6.665332864060333186e-09 9.466708949657301475e-04 8.306149302275933621e-02 8.400816391772505942e-02
4.370712306880943799e-06 1.166243223053878850e-06 6.691750753649601520e-09 9.784162219392683602e-04 5.478836445809776023e-02 5.576678068003702859e-02
4.352956791156132037e-06 1.171138186038018572e-06 6.719845970780310232e-09 4.605384894426911568e-04 -2.162725443478823451e-01 -2.158120058584396539e-01
4.337649310216885458e-06 1.175409726085892450e-06 6.744363075131315968e-09 4.399861570707139236e-04 -8.801353205119433198e-02 -8.757354589412361112e-02
4.324583815359749621e-06 1.179100092475861607e-06 6.765544826757098788e-09 3.712033092896152575e-04 7.710731045568586239e-02 7.747851376497547071e-02
4.304250902725836517e-06 1.184809216249311914e-06 6.798314680311844228e-09 4.566224772871718685e-04 3.595046822967695732e-01 3.599613047740567451e-01
4.281156943935147208e-06 1.191340044089762543e-06 6.835801783479000866e-09 -3.345901653705463108e-04 1.140986104798535905e-02 1.107527088261481274e-02
4.289324859493732356e-06 1.189212342496081222e-06 6.823597678502089954e-09 -5.430188403123606400e-04 -3.727224273833318335e-01 -3.732654462236442150e-01
4.358171516417327689e-06 1.170868556668822673e-06 6.714121066027477498e-09 2.224983799371735294e-04 -1.594030227711272119e+00 -1.593807729331334855e+00
4.500706062688005186e-06 1.133943894343239818e-06 6.502257310101342087e-09 4.601520722294361043e-05 -1.801035244645916578e+00 -1.800989229438693551e+00
4.694045660513022771e-06 1.087402324154812552e-06 6.235149791356045999e-09 4.328549908458323436e-05 1.237597690780752657e+00 1.237640976279837268e+00
4.881129909430425425e-06 1.026907492127862307e-06 6.144799213267571160e-09 -2.084010625977038289e-03 1.484723935580020360e+00 1.482639924954043398e+00
5.015691421921290852e-06 9.994851970401310506e-07 5.980730423149369098e-09 -2.712051263499888620e-03 5.013042774199076845e-01 4.985922261564078029e-01
5.087996308741273241e-06 9.854105306527049521e-07 5.896392650032694067e-09 -2.535037622633497245e-03 1.015450905123929104e-01 9.901005288975942009e-02
5.117719604346955392e-06 9.798102676754875990e-07 5.862797593533608329e-09 -2.345701683146426963e-03 -1.573652733277315363e-01 -1.597109750108779702e-01
5.143226684914017127e-06 9.750730669951448241e-07 5.834369439104532291e-09 -1.958898799611565045e-03 -2.211402252600702667e-02 -2.407292132561859171e-02
