S T U q1 q2 q3
2.039162570892392258e-06 5.925817513816216173e-07 3.223193297400087510e-08 -1.980664490285170484e-02 7.433790131407924662e-02 5.453125641122753831e-02
1.817405554315065749e-06 6.057132269783130930e-07 2.960875330514485471e-08 -1.756418523167570939e-02 1.701254082741066043e-02 -5.516444042650489599e-04
1.619764405252782674e-06 6.253527163720586697e-07 2.638882916018100174e-08 -1.544312596207807718e-02 -9.524667466620329037e-02 -1.106898006282813623e-01
1.443616545737191640e-06 6.242781879161630814e-07 2.665961506746915362e-08 -1.385195379288480313e-02 3.254460775250844762e-01 3.115941237321996904e-01
1.286624600693669771e-06 6.432814427769252645e-07 2.376040693916643093e-08 -1.194338974536174672e-02 4.248021661351781830e-01 4.128587763898164398e-01
1.286690314831902309e-06 6.430989045874809586e-07 2.375365817923894028e-08 -1.200804156944330903e-02 1.630012290674809350e-01 1.509931874980376398e-01
1.287134214144205823e-06 6.426366290462101902e-07 2.373656094463879519e-08 -1.197940345883988233e-02 -1.812556210445741556e-01 -1.932350245034140379e-01
1.293615920592138005e-06 6.394122084543147986e-07 2.361747433486463675e-08 -1.210411095291513868e-02 -5.559842606198994730e-01 -5.680883715728146655e-01
1.305755725413686092e-06 6.334628898750271813e-07 2.339774273214799186e-08 -1.213283485152599067e-02 -7.515199514175563422e-01 -7.636527862690822843e-01
1.317020131551374531e-06 6.280402442480315122e-07 2.319746345420452815e-08 -1.216768515677414501e-02 -8.284308667474142851e-01 -8.405985519041884180e-01
1.331244786056766346e-06 6.213278253268743725e-07 2.294954003628106411e-08 -1.222809016418623107e-02 -5.410820003398661981e-01 -5.533100905040524431e-01
1.346716822535042540e-06 6.141878481764581899e-07 2.268582481410421942e-08 -1.224820161626848092e-02 -3.263544676767278219e-01 -3.386026692929963167e-01
1.364623580407960729e-06 6.061265914787473733e-07 2.238808236948311500e-08 -1.237241298878487793e-02 1.539185784241627886e-01 1.415461654353779020e-01
1.383557117950828742e-06 5.978300626017109376e-07 2.208165030312249580e-08 -1.255741208332484746e-02 5.432825771124569769e-01 5.307251650291321399e-01
1.401093616531460390e-06 5.903455273057908210e-07 2.180520907567926990e-08 -1.274815843195340088e-02 5.388284261332323410e-01 5.260802677012789141e-01
1.248726000146866918e-06 6.015154292660653748e-07 1.943391304490161945e-08 -1.107792784250774890e-02 8.483661383249856414e-01 8.372882104824779237e-01
1.112928219102895179e-06 6.128907111227332370e-07 1.770845980662352283e-08 -9.660057690974728495e-03 6.620944477701780073e-01 6.524343900792032303e-01
1.112953000658845890e-06 6.127825759349434087e-07 1.770533003206890696e-08 -9.731655592947528396e-03 6.181823015662875065e-01 6.084506459733399764e-01
1.110278213300653964e-06 6.143681211434796271e-07 1.775113029366621000e-08 -9.779126819954157487e-03 4.609052273070979311e-01 4.511261004871437996e-01
1.106724066174019722e-06 6.165390140627796573e-07 1.781384684067165747e-08 -9.818661804125607476e-03 2.526411408710380613e-01 2.428224790669124555e-01
1.099871142950280309e-06 6.209017302156239729e-07 1.793987911532067867e-08 -9.760327952664613060e-03 -3.497227327161311905e-01 -3.594830606687958174e-01
1.091504946000232717e-06 6.266619425142597268e-07 1.810627729058112021e-08 -9.620835370823708002e-03 -4.726322031979766081e-01 -4.822530385688003074e-01
1.085366469539196438e-06 6.313258714440995132e-07 1.824100965124707564e-08 -9.459285616030883859e-03 -6.551780630243388970e-01 -6.646373486403698294e-01
1.080648340358000267e-06 6.352025338353140879e-07 1.835300087191020793e-08 -9.298128613904754411e-03 -3.615419967752533381e-01 -3.708401253891581151e-01
