S T U q1 q2 q3
4.325462724567606323e-06 1.172371483896067673e-06 7.281181495088825981e-09 3.777442749306747505e-04 6.417292099802907046e-02 6.455066527295974521e-02
4.324702831069754082e-06 1.174216451295709981e-06 7.295806670534805053e-09 -1.955372213820541494e-04 -1.229622975813526864e-04 -3.184995189634068358e-04
4.326327448743461169e-06 1.173416919821773712e-06 7.293775900546270439e-09 -8.088937872681098429e-04 -2.107150632991174888e-01 -2.115239570863856056e-01
4.327329745310176543e-06 1.173114981835160156e-06 7.294934763871595554e-09 -9.906082606257055057e-04 1.391915031676820291e-01 1.382008949070563375e-01
4.326248586009974696e-06 1.174960616590974720e-06 7.311131645687036311e-09 -9.700082996225503629e-04 2.476137294222446883e-01 2.466437211226221449e-01
4.322787223636238061e-06 1.179252399945145510e-06 7.344092700348599606e-09 -1.244330507715843415e-03 1.129168493747361168e-01 1.116725188670202734e-01
4.317853252997289842e-06 1.185108253253377271e-06 7.387604230854567354e-09 -1.205800734419032461e-03 -5.496041510978955102e-02 -5.616621584420858349e-02
4.313838465528746955e-06 1.190011535242983957e-06 7.424636710815581205e-09 -1.487112770700266262e-03 -2.054045541053532986e-01 -2.068916668760535649e-01
4.313586542272138317e-06 1.190797521037038318e-06 7.434280053602312539e-09 -1.246044672742981085e-03 -2.132778843172591365e-01 -2.145239289900021107e-01
4.319002333003402910e-06 1.185337935885811358e-06 7.402458328895610382e-09 -1.010361978854963649e-03 -2.831263359083120434e-01 -2.841366978871670002e-01
4.330267474209853503e-06 1.173651026435861443e-06 7.328572241185416102e-09 -7.245899760018811864e-04 -1.226894931033868374e-01 -1.234140830793887256e-01
4.345856979885894057e-06 1.157831249965559661e-06 7.225136494668336072e-09 -2.335456481480924218e-04 -1.417327949977220669e-01 -1.419663406458701593e-01
4.363807899602728746e-06 1.140337367613898388e-06 7.107463003674279108e-09 1.923289310590964307e-05 7.351732927622478542e-02 7.353656216933068812e-02
4.381007280953098631e-06 1.124380721293146915e-06 6.997367147309767238e-09 1.122211942032047549e-04 2.368687411626630990e-01 2.369809623568663037e-01
4.394819517044841299e-06 1.112181410026975488e-06 6.911537083168650290e-09 1.265974431473929074e-04 8.466306987686067487e-02 8.478966732000806084e-02
4.403733549577765743e-06 1.104668202209178010e-06 6.858379873451325171e-09 -1.864210838199639730e-04 3.083429426339598933e-01 3.081565215501399502e-01
4.406998146026638505e-06 1.101986719737741549e-06 6.843289976978754003e-09 -6.348272871520219129e-04 1.172567594291535897e-01 1.166219321420015609e-01
4.404314159434796969e-06 1.104746766747073329e-06 6.862574890453476417e-09 -9.439019300549605918e-04 1.571630397178793714e-01 1.562191377878244247e-01
4.396828846692550034e-06 1.111429571454481536e-06 6.914804827846620104e-09 -1.321321332229605239e-03 1.618081160115529826e-01 1.604867946793233635e-01
4.385300805710360398e-06 1.121814173119750614e-06 6.994297202641405314e-09 -1.739562864692074939e-03 2.076879219661620368e-01 2.059483591014699688e-01
4.373025209660720177e-06 1.133179745336263518e-06 7.080379038762463948e-09 -1.888555499288076256e-03 -1.763190175400399795e-01 -1.782075730393280488e-01
4.363399143220789703e-06 1.142423343107955764e-06 7.150414471608850348e-09 -1.736681794663165468e-03 -1.844787178468045852e-01 -1.862153996414677437e-01
4.357723419408569037e-06 1.148061859858090637e-06 7.194292037654868898e-09 -1.377078692625773038e-03 -3.271975790235224224e-01 -3.285746577161481885e-01
4.356032061372398494e-06 1.149865940336130310e-06 7.210823372537477075e-09 -9.282372008875827696e-04 -8.138274417764534974e-02 -8.231098137853293251e-02
4.356845369271762140e-06 1.149183654756102628e-06 7.209360774905254577e-09 -8.908368506886713001e-04 3.475291122330386173e-01 3.466382753823499252e-01
4.358365848292744172e-06 1.147818954936475161e-06 7.203643128340259039e-09 -1.067626017991804566e-03 -1.399608968789749497e-01 -1.410285228969667681e-01
4.360458580131712883e-06 1.145878592465101307e-06 7.194410883212904709e-09 -1.025196170768766235e-03 -1.538663124247552361e-01 -1.548915085955240023e-01
4.362318181805505808e-06 1.144168688027900961e-06 7.186555295761162373e-09 -1.090319278100021494e-03 2.330345590835314340e-02 2.221313663025312191e-02
4.362525580756410787e-06 1.144129128588119303e-06 7.187651963771231529e-09 -1.319636452824159145e-03 2.231834272146269171e-01 2.218637907618027649e-01
4.359542339548294480e-06 1.147130511949999149e-06 7.212171823668741402e-09 -1.644442052806407983e-03 2.732458232983407953e-01 2.716013812455344012e-01
4.351322476496473074e-06 1.155331927974321523e-06 7.273079340592296712e-09 -1.628251624833314259e-03 1.405464033916281608e-01 1.389181517667948396e-01
4.338665539387597297e-06 1.168247358846192631e-06 7.366161089502296823e-09 -1.703438314518752883e-03 1.759978990939377042e-01 1.742944607794189582e-01
4.323479125470069155e-06 1.184331349841971013e-06 7.479443704111863036e-09 -1.465302637422602472e-03 -1.364681480927387724e-02 -1.511211744669647972e-02
4.308465382507639885e-06 1.200955951346973923e-06 7.594138882496811565e-09 -1.598535753982825713e-03 -1.456065419440299991e-01 -1.472050776980128317e-01
4.295601821795424652e-06 1.215866843219575058e-06 7.695112163226221544e-09 -1.220326388537175399e-03 -5.768557406233831841e-02 -5.890590045087549381e-02
4.286505064223070476e-06 1.226853900430922417e-06 7.768614137543259058e-09 -9.184504762183645643e-04 -1.833030620107560793e-01 -1.842215124869744369e-01
4.282261151210922915e-06 1.232231760659483807e-06 7.804718659291107597e-09 1.307628518112322058e-04 -1.859660287857867189e-01 -1.858352659339754798e-01
4.283772445912057402e-06 1.230568049097152089e-06 7.796617331550197890e-09 5.639791309325833946e-04 -3.356730527423170685e-01 -3.351090736113844781e-01
4.290798529121338871e-06 1.222221406911316673e-06 7.743685822013552987e-09 1.048483363852707739e-03 -1.229354911253643934e-01 -1.218870077615116787e-01
4.303250225704262280e-06 1.207609723385973114e-06 7.649437031812145316e-09 1.305910525514798748e-03 -1.801048827958755538e-01 -1.787989722703607620e-01
4.319446996353103794e-06 1.189264656768150144e-06 7.528881077861302619e-09 1.377489148035940247e-03 -3.506485436000517097e-03 -2.128996287964576850e-03
4.337917912457294637e-06 1.169296886184241420e-06 7.394886161599032092e-09 1.094596679543466400e-03 -4.592835725893351650e-02 -4.483376057939005010e-02
4.355273989019037939e-06 1.151491277110511035e-06 7.272574270488122215e-09 7.538828220566909377e-04 2.182516958659501682e-01 2.190055786880068522e-01
4.368848422101561892e-06 1.138219815595826429e-06 7.179574980946641321e-09 2.726187175390373807e-04 2.129064673538234587e-01 2.131790860713624891e-01
4.376214269246626041e-06 1.131304681904846981e-06 7.130570035649062123e-09 -1.589536369940788840e-04 4.644966426699905782e-01 4.643376890329964923e-01
4.377201749526094373e-06 1.130392775098175943e-06 7.125782052039003113e-09 -1.047592291686910704e-03 1.100609456435250877e-01 1.090133533518381770e-01
4.374040112816182942e-06 1.133588619560015775e-06 7.146389711614318984e-09 -1.006010577911185810e-03 -4.705187982255765178e-02 -4.805789040046883759e-02
4.369975058904847637e-06 1.137506463234857415e-06 7.175757295725471817e-09 -7.760613320485776345e-04 -5.784269492681559655e-02 -5.861875625886417418e-02
4.367318327733381223e-06 1.140113268332704754e-06 7.195602656776506216e-09 -5.325845164988532443e-04 -1.686489550941079330e-01 -1.691815396106067793e-01
4.368381598088950237e-06 1.139106543400161810e-06 7.190503011209947588e-09 1.800721423386303366e-04 -8.017929742388574255e-03 -7.837857600049943918e-03
4.373515766154424638e-06 1.134261010739262938e-06 7.156580903917828878e-09 4.458886419466748241e-04 -2.113590094195352265e-01 -2.109131207775885586e-01
4.382168643186837699e-06 1.126182928019085793e-06 7.098856042916843328e-09 6.350980327104530088e-04 -2.115979877489788663e-01 -2.109628897162684202e-01
4.393926244278223528e-06 1.115455016771603853e-06 7.021027189876048013e-09 9.675991196022235008e-04 6.717046140100357832e-02 6.813806052060580876e-02
4.406501274053853760e-06 1.104348988264273638e-06 6.939012141716925060e-09 9.287198499564608412e-04 1.967443209024040129e-01 1.976730407523604738e-01
4.418594526705044155e-06 1.094023383205616019e-06 6.861474955448350227e-09 6.654130775304509249e-04 -1.012900397733442759e-01 -1.006246266958138180e-01
4.427851635663531295e-06 1.086372928303135026e-06 6.803061635906824686e-09 6.540716555706038715e-04 1.826754787746267539e-01 1.833295504301973577e-01
4.432377649321457299e-06 1.082741645833997962e-06 6.774936653768490055e-09 -7.968455656433975909e-05 2.261359511466913830e-01 2.260562665901270363e-01
4.429793595488762662e-06 1.085013992002463517e-06 6.789973252790264332e-09 -8.285303860824239086e-04 3.984391876348585271e-01 3.976106572487760893e-01
4.420726165001406735e-06 1.092464346841516611e-06 6.847792952853134216e-09 -1.605680372553604240e-03 1.733922945309700481e-01 1.717866141584164508e-01
4.406485309023447609e-06 1.104433223350775073e-06 6.940285807159321545e-09 -2.441267504687753831e-03 1.632732890252892588e-01 1.608320215206014980e-01
4.390504573496824746e-06 1.118352426939290894e-06 7.047000938137693649e-09 -2.618538756137336887e-03 -3.124900273786117566e-01 -3.151085661347490796e-01
4.375549624988506390e-06 1.131916104360864718e-06 7.150151685143965124e-09 -2.949812160103551517e-03 1.529062157983318571e-03 -1.420750002120232947e-03
4.363779324892762992e-06 1.142977840078147876e-06 7.234226287581651416e-09 -2.753862252276445544e-03 5.305164433074693875e-02 5.029778207847049321e-02
4.356044589111723810e-06 1.150412050192665387e-06 7.291869107340777630e-09 -2.679840942413906635e-03 -2.408037988654658790e-01 -2.434836398078797925e-01
4.354281802653954986e-06 1.152005017645697484e-06 7.308276112256225446e-09 -2.558934580507037093e-03 -3.630883107923459363e-01 -3.656472453728529803e-01
4.358407068231662109e-06 1.147671222182819824e-06 7.285177718428067778e-09 -2.396989566336535371e-03 -1.834877265218874953e-01 -1.858847160882240446e-01
4.367629857586624214e-06 1.138362534249236709e-06 7.225055172922432474e-09 -2.235807440425147119e-03 -8.838949809528173773e-02 -9.062530553570688485e-02
4.378725172581242840e-06 1.127486698033539996e-06 7.152880202224364227e-09 -2.221388068047107367e-03 1.433983033408328112e-01 1.411769152727856969e-01
4.387829294772269065e-06 1.118780123449954052e-06 7.095134864034885927e-09 -2.335812363665888680e-03 2.231828727933891088e-01 2.208470604297232132e-01
4.391678831787077199e-06 1.115035112114037966e-06 7.074373419895273742e-09 -2.613339903425333788e-03 3.697862816438011180e-01 3.671729417403757911e-01
4.390068801076281584e-06 1.116291039520492014e-06 7.088889419957737495e-09 -3.489437794778907365e-03 8.748902509417000317e-02 8.399958729939109581e-02
4.384914443911521931e-06 1.120777689874871521e-06 7.127613105186150416e-09 -3.514161983469495099e-03 5.916720468921532472e-02 5.565304270574582962e-02
4.379518891876773311e-06 1.125541992774001269e-06 7.168943006890845034e-09 -4.095507535576532743e-03 -2.119650290392556258e-01 -2.160605365748321516e-01
4.374909783738594782e-06 1.129623284399182409e-06 7.205795062898383782e-09 -4.176769688261305902e-03 -8.378478166863700949e-02 -8.796155135689831539e-02
4.371011933153667169e-06 1.133070283140431169e-06 7.238481499727652925e-09 -4.305789845113386360e-03 8.130419441546266057e-02 7.699840457034927421e-02
4.364948586807320846e-06 1.138650652349286243e-06 7.286730585744956940e-09 -4.287843493888700286e-03 3.636476205240768422e-01 3.593597770301881211e-01
4.358113244430877204e-06 1.145093736846368865e-06 7.341310650327260728e-09 -5.164410912211904459e-03 1.529916045682888637e-02 1.013474954461698191e-02
4.360530893061027189e-06 1.142296994479632995e-06 7.330056934697681526e-09 -5.414098462861755001e-03 -3.692935647754342909e-01 -3.747076632382960737e-01
4.381216311484474958e-06 1.121684795984817890e-06 7.194688635871231617e-09 -4.655738527339331467e-03 -1.591787521263444916e+00 -1.596443259790784275e+00
4.424443309390544682e-06 1.081785615798074207e-06 6.916128339640900453e-09 -4.709698966009229215e-03 -1.799488019965510333e+00 -1.804197718931519479e+00
4.484796018092531982e-06 1.032715598676537410e-06 6.552131238548125494e-09 -4.397688173500460818e-03 1.238454758966005542e+00 1.234057070792505151e+00
4.544708887557171101e-06 9.909304038179468675e-07 6.220453840967578499e-09 -3.933171709372268454e-03 1.484723859653500178e+00 1.480790687944127937e+00
4.589170508467840221e-06 9.637989086295422533e-07 5.992754241529874552e-09 -4.022677910068883644e-03 5.008650246056545186e-01 4.968423466955856349e-01
4.613607522433419283e-06 9.500704969687682405e-07 5.875047875961919689e-09 -3.576092569007510713e-03 1.008274415340659758e-01 9.725134896505846505e-02
4.623761872425003295e-06 9.444685131661650393e-07 5.829174913634061474e-09 -3.302530298771214068e-03 -1.583524368048596642e-01 -1.616549671036308644e-01
4.632502150151644812e-06 9.397158438685320811e-07 5.790465506484284099e-09 -2.867955650671473455e-03 -2.337435465827653047e-02 -2.624231030894800393e-02
4.641633723849828360e-06 9.348609878198706935e-07 5.750089987203577076e-09 -2.897221338133137980e-03 -6.880888051770472913e-02 -7.170610185583786711e-02
4.649179935963152747e-06 9.308906327021946106e-07 5.717283503992951579e-09 -3.058416984278548856e-03 2.274795245846732428e-01 2.244211076003946870e-01
4.651277704214215750e-06 9.296257241479046519e-07 5.710134986046617345e-09 -2.653574037885970960e-03 4.513367141762181234e-01 4.486831401383321594e-01
4.648132544277548889e-06 9.309523418086568258e-07 5.726626823741325920e-09 -1.844629222064811391e-03 -1.167548907772619771e-01 -1.185995199993267885e-01
4.644278423574593188e-06 9.326776123202819816e-07 5.746130631687912087e-09 -1.390768498291568289e-03 8.570623662486998029e-02 8.431546812657841894e-02
4.645357594517163313e-06 9.319959902473505545e-07 5.742168168298753091e-09 -9.244937346624265695e-04 -5.775580243949596237e-01 -5.784825181296220364e-01
4.652000947940762053e-06 9.286499387532943331e-07 5.711393368790197050e-09 -5.389428779189603391e-04 -3.049694957106723336e-01 -3.055084385885912801e-01
4.662858741073298854e-06 9.233488818779520688e-07 5.660980146690597270e-09 -7.938645107616326690e-05 1.966306837334279578e-01 1.965512972823517945e-01
4.668246792368543141e-06 9.207577619882638578e-07 5.635940819157196233e-09 -4.696900704802622895e-04 8.315834460818054552e-01 8.311137560113251999e-01
4.663377954599834398e-06 9.229856069947093074e-07 5.657802599017101857e-09 -1.311359070901012280e-03 1.609256936157787976e-02 1.478121029067686748e-02
4.644599026996699467e-06 9.318746438647819405e-07 5.744825073825413854e-09 -1.595085221506649387e-03 4.697480057415139854e-01 4.681529205200073429e-01
4.610611473747001705e-06 9.487482877896601784e-07 5.907859108096122507e-09 -1.453514243372228121e-03 2.120606049945514826e-01 2.106070907511792545e-01
4.564913416901357910e-06 9.732942900107262957e-07 6.138816676842152192e-09 -1.580184850888163850e-03 4.799751454941763029e-01 4.783949606432881252e-01
4.512856908359199977e-06 1.004345115574260735e-06 6.419812023159632952e-09 -1.240867671569244324e-03 4.241859558445977285e-01 4.229450881730285050e-01
4.462060975822831115e-06 1.038516457364436955e-06 6.714631985224422843e-09 -1.694203276040535944e-03 -6.886907172527170218e-01 -6.903849205287575508e-01
4.423005501465418548e-06 1.067957118120987503e-06 6.956851001892692979e-09 -1.623585962522176851e-03 -4.767079473727466876e-01 -4.783315333352688437e-01
4.400088333005345145e-06 1.086884265624061809e-06 7.107277200385142142e-09 -1.919059515772286728e-03 -7.917749896030521484e-01 -7.936940491188244629e-01
4.392701589640950718e-06 1.093201915283215875e-06 7.158390688140384765e-09 -2.114513894477802747e-03 -3.348404652201075749e-01 -3.369549791145853845e-01
4.396237058027128671e-06 1.089909072640182438e-06 7.136753202620364640e-09 -2.045212896663636815e-03 6.015237936711770317e-02 5.810716647045406635e-02
4.403212429962766152e-06 1.083635141040101700e-06 7.092291677199879226e-09 -1.497718616926720092e-03 1.636647483164210826e-01 1.621670296994943694e-01
4.410406497965910961e-06 1.077292675005541127e-06 7.046709975815075601e-09 -1.670673179716725132e-03 1.229827954486797381e-01 1.213121222689630130e-01
4.415965139386293199e-06 1.072447353170122152e-06 7.012152513666963455e-09 -1.689846025778742045e-03 -4.921054999741514280e-02 -5.090039602319388484e-02
4.420558337915550748e-06 1.068468689569702760e-06 6.984216584761329946e-09 -2.054488670294972452e-03 -5.872758839022118593e-02 -6.078207706051615838e-02
4.424683324259721722e-06 1.064800331733344386e-06 6.961768469408913328e-09 -2.498661370340465870e-03 4.816382894460780051e-02 4.566516757426733464e-02
4.427260976050722715e-06 1.062491146913810545e-06 6.948770351818436110e-09 -2.839934168632610167e-03 1.756731447720145667e-01 1.728332106033819704e-01
4.425502283567837487e-06 1.063714862817057294e-06 6.962801463173236342e-09 -2.993741235236373199e-03 1.782487800615957241e-01 1.752550388263593439e-01
4.419939945734272722e-06 1.068048361435241073e-06 7.001692692859095434e-09 -3.461923258693919148e-03 1.982301778506254664e-01 1.947682545919315333e-01
4.411800265157397629e-06 1.074590887874980936e-06 7.057986135810991234e-09 -3.230573462048268174e-03 1.729425073104646771e-01 1.697119338484164019e-01
4.403828983028741394e-06 1.081128936150424209e-06 7.114093552230187377e-09 -3.444714637634141430e-03 -5.664269957385137388e-01 -5.698717103761479219e-01
4.398558045448340332e-06 1.085462736584283491e-06 7.153068114134075458e-09 -3.355414680172662256e-03 3.556222445851808800e-02 3.220680977834542574e-02
4.396095828853798032e-06 1.087387287173762566e-06 7.173591595404170384e-09 -3.687467358691395858e-03 1.123180362351359207e-01 1.086305688764445249e-01
4.396509561403699736e-06 1.086555574124801300e-06 7.171953664517907892e-09 -3.376542561162959588e-03 -1.142525160959309005e-01 -1.176290586570938601e-01
4.401918386414338595e-06 1.081570919239691704e-06 7.139623435900372759e-09 -2.971516605490900909e-03 -2.219820339458706826e-01 -2.249535505513615696e-01
4.411787726382163052e-06 1.072819409979541214e-06 7.077829817131861836e-09 -2.859355473618742371e-03 -3.694630444476789677e-01 -3.723223999212977309e-01
4.425943940150486405e-06 1.060722004000196143e-06 6.988911149727691694e-09 -2.479748755426884610e-03 -9.455378835603767129e-03 -1.193512759103065174e-02
4.441258485382090008e-06 1.048137166340120260e-06 6.894229063669472908e-09 -2.474037252980586243e-03 2.713349676228684615e-01 2.688609303698878961e-01
4.453360179729079450e-06 1.038519809998679433e-06 6.821390549978438632e-09 -2.605967717584520282e-03 3.270013159213256415e-01 3.243953482037411074e-01
4.459324158130008108e-06 1.033800683518457004e-06 6.787426444544983025e-09 -3.136389306221336326e-03 1.201462460198179372e-01 1.170098567135965939e-01
4.458007855307033074e-06 1.034565953604334783e-06 6.798510475675107669e-09 -3.237629294572753891e-03 1.706924072752507016e-01 1.674547779806779546e-01
4.450496217854318420e-06 1.039985798107190049e-06 6.848340067835035953e-09 -3.912030490063146682e-03 2.551263708289894794e-01 2.512143403389263119e-01
4.438626385587512691e-06 1.048867747325020969e-06 6.926730172609415128e-09 -4.174908706756984278e-03 8.659826639074807986e-02 8.242335768399108864e-02
4.425269987575858187e-06 1.059209416092799678e-06 7.016655722934593627e-09 -4.566614242625451070e-03 -7.933078336380994244e-02 -8.389739760643538657e-02
4.412504784968960893e-06 1.069434302981613780e-06 7.105036163177728845e-09 -4.665812360915046197e-03 -1.182620941990553121e-01 -1.229279065599703513e-01
4.403211956806737262e-06 1.077046999261967748e-06 7.172260162595668457e-09 -4.736199739593306701e-03 -1.548625223356960845e-01 -1.595987220752893843e-01
4.398352289506140448e-06 1.080995560841985576e-06 7.210782736756214119e-09 -4.541784461444112186e-03 -6.914083535316883911e-02 -7.368261981461295129e-02
4.398258585575380905e-06 1.081350746096594563e-06 7.219936099214081417e-09 -4.419839163344284338e-03 -2.888439529791124727e-01 -2.932637921424567362e-01
4.401174544033442854e-06 1.078508566039598023e-06 7.205750536528993178e-09 -4.494228152977571000e-03 7.729612914698158477e-02 7.280190099400402071e-02
4.406376754609276753e-06 1.073704658740083545e-06 7.178481173804716334e-09 -4.175694132675530912e-03 9.034684712123208783e-03 4.858990579447677871e-03
4.411734251200976660e-06 1.068838857205722562e-06 7.148333406526693378e-09 -4.401247010608282106e-03 -4.242023567400465822e-02 -4.682148268461294033e-02
4.415110075816991760e-06 1.065710119000713824e-06 7.131815630899123054e-09 -4.473353951139409646e-03 1.452055087853096893e-01 1.407321548341702866e-01
4.413303281857067849e-06 1.066976908575859792e-06 7.149412097270709166e-09 -4.643094577119019628e-03 3.201484991847802775e-01 3.155054046076612440e-01
4.404639023785047006e-06 1.074077281434979242e-06 7.212909426839315797e-09 -4.706306714437953620e-03 3.825300655127055194e-01 3.778237587982675727e-01
4.389430482962304913e-06 1.087104914509902159e-06 7.322232727960600485e-09 -4.925196434933352962e-03 1.364477784791677806e-01 1.315225820442344207e-01
4.370239698416012509e-06 1.104381794971507605e-06 7.462604051874329132e-09 -5.393534585960896299e-03 8.507876005419134913e-03 3.114341419458238613e-03
4.351313970798369865e-06 1.122376147144331048e-06 7.605721208698843953e-09 -5.295617743811736888e-03 -2.065508840442618066e-01 -2.118465017880735435e-01
4.335245479376401884e-06 1.138460535216539605e-06 7.732127581143083194e-09 -5.386869421587982265e-03 -1.438746339218202053e-01 -1.492615033434081806e-01
4.322580892751956521e-06 1.151689095510770884e-06 7.835953172413048256e-09 -5.234565950826386427e-03 -1.263943581314190823e-01 -1.316289240822454687e-01
4.312943351911559129e-06 1.162085510249203462e-06 7.918374854078251594e-09 -5.334369089106387463e-03 9.409715628577686175e-02 8.876278719667046735e-02
4.306280974777974752e-06 1.169404256036567216e-06 7.978364345445060353e-09 -5.305037997395893601e-03 -4.454687607143625883e-02 -4.985191406883215243e-02
4.302771457038192530e-06 1.173239884546360066e-06 8.013647957408989848e-09 -4.820790110151886021e-03 -3.644219665564385480e-01 -3.692427566665904548e-01
4.302570887436943701e-06 1.172579717864930344e-06 8.016894553268473719e-09 -4.198509744143173739e-03 -1.744688229334467877e-01 -1.786673326775899684e-01
4.306119014982072755e-06 1.168237376943766593e-06 7.995179813682481398e-09 -4.275542347693991885e-03 7.721378118193555906e-02 7.293823883424156718e-02
4.311857093697808038e-06 1.161439190125490343e-06 7.956026512125682371e-09 -4.172437483573224193e-03 -3.887522804859600001e-03 -8.059960288432824194e-03
4.317834051188936141e-06 1.154477357204962961e-06 7.915276841742591592e-09 -4.398671040773800833e-03 1.634832118103091148e-02 1.194965014025711064e-02
4.322502355897849716e-06 1.149100424122223667e-06 7.886373062061621031e-09 -4.747106480485589752e-03 4.460887880481578804e-02 3.986177232433019829e-02
4.324639650560432261e-06 1.146419631666736376e-06 7.874411984264954028e-09 -5.043831583617548742e-03 2.622892338837825577e-01 2.572454023001650159e-01
4.325695762725696769e-06 1.144706489558815541e-06 7.868850266499239235e-09 -5.127370409291433229e-03 3.201453854876135097e-03 -1.925916554415298132e-03
4.326383756021988696e-06 1.143258025793850942e-06 7.865427676019895377e-09 -5.268331556581830333e-03 -1.243834150380660475e-01 -1.296517465946478709e-01
4.327925193241408529e-06 1.141088850474916941e-06 7.857283027554045992e-09 -5.349732279927583989e-03 -3.218388693053952920e-01 -3.271886015853228691e-01
4.329702670252674133e-06 1.138699906930764141e-06 7.847892433665080281e-09 -5.761243503358770557e-03 3.771946391622638117e-01 3.714333956589050412e-01
4.330691478143548047e-06 1.136952934434545083e-06 7.843008029345430373e-09 -5.955957906057969542e-03 1.784484611612935367e-01 1.724925032552355741e-01
4.330784660554121273e-06 1.135859887535224524e-06 7.843581355578470001e-09 -5.992836336455295565e-03 -1.384444217351994411e-01 -1.444372580716547505e-01
4.332672176933563196e-06 1.133366446559731934e-06 7.833764556035064511e-09 -5.696127128629900616e-03 -2.158847239096051140e-01 -2.215808510382350216e-01
4.337686405638185660e-06 1.127860432469795463e-06 7.804666631839390130e-09 -5.503360625747903689e-03 -1.705663289512067138e-01 -1.760696895769546244e-01
4.346940863685925103e-06 1.118006609827262852e-06 7.743043953978355131e-09 -5.558415929536680844e-03 -8.737671518495737644e-02 -9.293513111449405728e-02
4.360183339770906715e-06 1.104387012001575553e-06 7.652529502692295554e-09 -5.259922437503831982e-03 -4.296062629280683609e-02 -4.822054873031066807e-02
4.375575169310897628e-06 1.089181585935082335e-06 7.548032601132578633e-09 -5.106882643886145878e-03 -3.748283785485995168e-02 -4.258972049874609755e-02
4.392378557560249304e-06 1.073304469804710702e-06 7.435836131426161703e-09 -4.988364173501062815e-03 -7.277830179904398733e-02 -7.776666597254505708e-02
4.408405427749728662e-06 1.058816913539693792e-06 7.331723432072427165e-09 -4.926519915926519388e-03 2.532932350777326036e-01 2.483667151618060842e-01
4.421793540580638996e-06 1.047158525730020968e-06 7.247921652708791139e-09 -5.379243002031505738e-03 2.960505263382628982e-02 2.422580963179478408e-02
4.431540962161771419e-06 1.038875309560676756e-06 7.190235562147383876e-09 -5.748063162014011018e-03 3.137510774973701899e-01 3.080030143353561511e-01
4.437403188853352012e-06 1.033903379711055825e-06 7.159403639881164329e-09 -6.093727527755637974e-03 3.523738131743137103e-02 2.914365378967573306e-02
4.439537432497535993e-06 1.031774669619371167e-06 7.150544551197089376e-09 -6.576387098479526128e-03 -4.942623730984685437e-02 -5.600262440832638050e-02
4.440743929903744454e-06 1.030570998430076284e-06 7.151684769094955439e-09 -6.741059665273919921e-03 1.081684489780379010e-01 1.014273893127639881e-01
4.440955813681171226e-06 1.030270534798938369e-06 7.160535476415071080e-09 -6.972577128994725260e-03 4.209164401229870123e-02 3.511906688330397597e-02
4.442295340485208687e-06 1.028970657452604203e-06 7.161346380744583621e-09 -6.406854938524761400e-03 -1.505910961207881371e-01 -1.569979510593129124e-01
4.444816912574174553e-06 1.026571845869361248e-06 7.150975979213195657e-09 -6.497705492540868655e-03 -4.361438500097669646e-02 -5.011209049351756512e-02
