S T U q1 q2 q3
3.939714140147280178e-06 1.163966203553640749e-06 7.118159427026644177e-09 1.088617316593487594e-03 1.117006207787518690e-01 1.127892380953453566e-01
3.940308753753215664e-06 1.162738950312746320e-06 7.114332360896093801e-09 5.774100638133994323e-04 -3.139127217976245277e-02 -3.081386211594905333e-02
3.940646362360630475e-06 1.162983892221116824e-06 7.118863268918958330e-09 1.279998011806393610e-05 -2.138357777530544013e-01 -2.138229777729363512e-01
3.940733112998063226e-06 1.164631392754669074e-06 7.131324513651977764e-09 -1.587326596409199819e-04 1.855488095008830385e-01 1.853900768412421185e-01
3.940689789031891148e-06 1.166994346060050227e-06 7.147474280888324531e-09 -1.266837788840430301e-04 3.010535963290870143e-01 3.009269125502029851e-01
3.940347669591773015e-06 1.171086389283630852e-06 7.173470876294186017e-09 -3.483922798445462932e-04 1.492976493013049577e-01 1.489492570214604183e-01
3.939975118795561428e-06 1.175311217272188877e-06 7.199859672549857413e-09 -2.722400924377588183e-04 -7.503309550331849209e-02 -7.530533559575625091e-02
3.939844278133176298e-06 1.177957735651344709e-06 7.218093136208469357e-09 -4.964526573907543372e-04 -2.932717145873233733e-01 -2.937681672447141068e-01
3.940252509611311921e-06 1.177394182231918269e-06 7.214304358332480999e-09 -2.423042328432434278e-04 -3.433998090841292594e-01 -3.436421133169724751e-01
3.941495021952580791e-06 1.171791145306505765e-06 7.179064729943731452e-09 -6.652712041296804379e-06 -4.172567204030404042e-01 -4.172633731150817149e-01
3.943569945961580978e-06 1.161272260165622008e-06 7.112435763980170628e-09 2.602589173071115369e-04 -2.193226112920250159e-01 -2.190623523747179113e-01
3.946348986485213769e-06 1.146550650510258665e-06 7.023152226770235555e-09 6.757287821681709494e-04 -1.871261216442157149e-01 -1.864503928620475370e-01
3.949394780210624859e-06 1.130537277735854188e-06 6.922567113862145323e-09 8.696377632742904873e-04 9.380502636565246632e-02 9.467466412892674987e-02
3.952308940879028848e-06 1.115526798170019169e-06 6.826695140063162139e-09 9.164014624086572192e-04 3.108294058859915054e-01 3.117458073484001835e-01
3.954723759839374832e-06 1.103518425347369193e-06 6.748387830336366534e-09 9.036387656672917323e-04 1.870537671716760997e-01 1.879574059373433914e-01
3.956471236315843758e-06 1.095586760276543954e-06 6.699878053172603704e-09 5.884971647560910402e-04 4.201720829893602627e-01 4.207605801541163260e-01
3.957277637318416077e-06 1.092908263672810720e-06 6.683486316381133821e-09 1.961569776594562775e-04 2.297183901742254619e-01 2.299145471518849182e-01
3.957156501185768366e-06 1.095360705619487074e-06 6.698471049510784968e-09 -6.857540910615994578e-05 2.542793363713844457e-01 2.542107609622782927e-01
3.956230359422113822e-06 1.102296708658515323e-06 6.740873142681664162e-09 -3.498252789205652524e-04 2.387916639424396692e-01 2.384418386635190901e-01
3.954852510467603612e-06 1.111816068268334045e-06 6.799071928101820970e-09 -6.428785281552690245e-04 2.239883597971683571e-01 2.233454812690131019e-01
3.953392202829742046e-06 1.121888493432193567e-06 6.860652646880942102e-09 -6.919427145280487856e-04 -2.320157540647578287e-01 -2.327076967792858775e-01
3.952138555451289014e-06 1.130871057505670183e-06 6.915569260169008247e-09 -4.897180407922516188e-04 -2.764917004304603410e-01 -2.769814184712525718e-01
3.951330860560154219e-06 1.137356076199379930e-06 6.955213867208157162e-09 -1.228395667233553312e-04 -4.165124820989785093e-01 -4.166353216657018854e-01
3.951059502472984056e-06 1.140776583626173362e-06 6.976118860281930022e-09 3.049164937938206310e-04 -1.388867800302602262e-01 -1.385818635364663987e-01
3.955301449175011959e-06 1.131584004449321853e-06 7.085233302539501725e-09 -5.703667993164490690e-04 3.257610579825485075e-01 3.251906911832320723e-01
3.955796734557381246e-06 1.130595976262222170e-06 7.079071036254817891e-09 -7.164287286532400323e-04 -1.552835508801564401e-01 -1.559999796088096802e-01
3.956332713422172344e-06 1.129371972161961501e-06 7.071370950008132889e-09 -6.639109945725946149e-04 -1.535893043232512412e-01 -1.542532153178238219e-01
3.956781110472309219e-06 1.128670881918639446e-06 7.067221271612573296e-09 -7.123207973279768734e-04 4.714196582389362788e-02 4.642964502656565101e-02
3.956821886232840830e-06 1.130280027212197714e-06 7.077321162916192077e-09 -9.205536358672244956e-04 2.877386907724055476e-01 2.868181371365383092e-01
3.956238260853769191e-06 1.135464637919757201e-06 7.109730329403446478e-09 -1.194973783618172303e-03 3.820493664643649367e-01 3.808543926807467783e-01
3.955070585594630645e-06 1.144048740968836880e-06 7.163423288955871043e-09 -1.134437872562593652e-03 2.356299030671866745e-01 2.344954651946240809e-01
3.953240829017183219e-06 1.156569396242359650e-06 7.241761262915308165e-09 -1.143137872785617015e-03 2.296242460098500970e-01 2.284811081370644870e-01
3.950989239758394744e-06 1.171733029343519930e-06 7.336644717985728711e-09 -8.651191377870015575e-04 -1.626984440314238611e-02 -1.713496354092938767e-02
3.948640429058210428e-06 1.187688024179351863e-06 7.436481095737342972e-09 -9.396048186014610559e-04 -1.933561386711950547e-01 -1.942957434897965019e-01
3.946636615701874355e-06 1.201763951870997701e-06 7.524551903649150927e-09 -5.592626818062065852e-04 -1.472877691142038259e-01 -1.478470317960100255e-01
3.945280294411796114e-06 1.212025240895311998e-06 7.588738987688095376e-09 -2.609033985810221834e-04 -3.042708533228157819e-01 -3.045317567213968180e-01
3.944821244588609437e-06 1.216826096282589829e-06 7.618738221788221411e-09 7.177784350204385877e-04 -3.277081590184423021e-01 -3.269903805834218913e-01
3.945393987392122737e-06 1.215128221305611824e-06 7.610065792199232981e-09 1.119252681837566710e-03 -4.779828346687775564e-01 -4.768635819869400105e-01
3.947042001339465253e-06 1.206970143886079317e-06 7.558974922248751709e-09 1.564434513694416828e-03 -2.552646910002795977e-01 -2.537002564865851739e-01
3.949566597099341836e-06 1.193547844046093844e-06 7.474928087951913548e-09 1.786215631222963507e-03 -2.705809129534522128e-01 -2.687946973222292701e-01
3.952782489024588505e-06 1.176149093587407766e-06 7.365991358602606543e-09 1.823698727003088271e-03 -5.004670851321257885e-02 -4.822300978620949058e-02
3.956190741938614678e-06 1.157888329960427234e-06 7.251659656381117798e-09 1.516064123907798211e-03 -2.075775377763733331e-02 -1.924168965372953510e-02
3.959374529173258030e-06 1.141226170099730333e-06 7.147333797505543330e-09 1.148231307342879870e-03 3.048921013824763548e-01 3.060403326898192278e-01
3.961903387730632652e-06 1.128555510473567710e-06 7.067992793728152995e-09 6.592735795943535648e-04 3.436400078270054337e-01 3.442992814065997664e-01
3.963561533122119869e-06 1.120960233531349484e-06 7.020426072914584114e-09 2.426910447036537133e-04 5.936661902154689585e-01 5.939088812601726053e-01
3.964334333553582007e-06 1.118283444325208379e-06 7.002636622217124004e-09 -5.424732678577098843e-04 1.904249436709584131e-01 1.898824704031006894e-01
3.964512065713706516e-06 1.119093796132339107e-06 7.007680569515226868e-09 -4.925445617079277083e-04 -3.370997824382193642e-02 -3.420252280552986412e-02
3.964413496045596145e-06 1.121465658329427970e-06 7.022505487096812719e-09 -2.522693821908200684e-04 -9.689596505305253515e-02 -9.714823443524335522e-02
3.964521865912473782e-06 1.122669650826526790e-06 7.030017421767590848e-09 -6.673175687685328761e-06 -2.527619446199160791e-01 -2.527686177956037783e-01
3.965087333821043493e-06 1.121286102326037539e-06 7.021328400168521606e-09 6.493010184814851371e-04 -1.034270279731668296e-01 -1.027777269546853445e-01
3.966250356414576416e-06 1.116532628462680534e-06 6.991538075901923245e-09 8.722379108974734341e-04 -2.946788277687879543e-01 -2.938065898578904878e-01
3.968013202805624248e-06 1.108439377204088838e-06 6.940839884690188183e-09 1.006626640313333654e-03 -2.766430809460000972e-01 -2.756364543056867844e-01
3.970172768230741956e-06 1.098207162324227338e-06 6.876752966263859735e-09 1.247645540052570723e-03 4.311711484699465302e-02 4.436476038704722374e-02
3.972519224016599242e-06 1.087049931027306752e-06 6.806876529285598041e-09 1.143251676643912418e-03 2.039183492252369945e-01 2.050616009018809138e-01
3.974649777236277793e-06 1.077186253171816649e-06 6.745097110775494596e-09 8.307987608349581832e-04 -4.776202014231145654e-02 -4.693122138147649836e-02
3.976334826483567154e-06 1.069817829310223587e-06 6.698937575213083051e-09 7.585760128399759994e-04 2.715851400087547773e-01 2.723437160215947395e-01
3.977155859121029871e-06 1.067135632279280100e-06 6.682116537662074886e-09 6.465134441973469093e-05 3.549810628130956047e-01 3.550457141575153464e-01
3.980461051992454638e-06 1.088576195732457963e-06 6.525190217034692781e-09 1.122497651052427325e-03 5.267803987342123406e-01 5.279028963852647749e-01
3.979438137846433383e-06 1.095956344327392846e-06 6.569444547845933398e-09 4.844476683470017031e-04 2.694467327566005821e-01 2.699311804249475699e-01
3.977720640217162689e-06 1.107250399187224917e-06 6.637158459117911166e-09 -1.747212994404265252e-04 1.950340952596611999e-01 1.948593739602207664e-01
