S T U q1 q2 q3
1.958111041808079076e-05 1.863348793461230280e-06 9.532257085334421743e-09 4.693323632215223862e-03 1.501648417563554716e-01 1.548581653885706955e-01
1.958590554028235604e-05 1.861253607814015632e-06 9.532762753253517780e-09 2.052622637357365276e-03 4.478753886965947117e-03 6.531376524323312394e-03
1.958930854338383380e-05 1.859603496566605040e-06 9.535086107337952301e-09 -8.362397503985929959e-04 -2.066803056762740454e-01 -2.075165454266726384e-01
1.958674947015154701e-05 1.861130052899462613e-06 9.533890877302375257e-09 -1.437404628829658249e-03 1.657310664418982782e-01 1.642936618130686199e-01
1.956595896145409526e-05 1.868890777888580669e-06 9.511667422141830939e-09 -1.228566699210120738e-04 2.831570444839961453e-01 2.830341878140751333e-01
1.954258064502825774e-05 1.872731552736461458e-06 9.542007538510420201e-09 -1.357071136676130108e-03 1.574016819816872470e-01 1.560446108450111169e-01
1.951048375568263175e-05 1.878164691021091333e-06 9.579009947167788152e-09 -1.116329880175431777e-03 -3.133079697461127466e-03 -4.249409577636559243e-03
1.948305148571494912e-05 1.882655496342706478e-06 9.610795836639513848e-09 -2.335040266275401066e-03 -1.467061571245000806e-01 -1.490411973907754817e-01
1.948535881487987466e-05 1.880751849400986443e-06 9.638495888537716165e-09 -1.773000537428875978e-03 -1.482102089547137069e-01 -1.499832094921425829e-01
1.951495524979944421e-05 1.870271268914673688e-06 9.648288094556004061e-09 -1.780531997185252902e-03 -2.100594826111539248e-01 -2.118400146083391777e-01
1.956981705742057362e-05 1.852275314841322101e-06 9.631465234474589769e-09 -1.894732868677528881e-03 -4.187988127690545070e-02 -4.377461414558297959e-02
1.964898258377374370e-05 1.828514103850437345e-06 9.601403545476230137e-09 -1.526089251274204139e-03 -5.461429573835552276e-02 -5.614038498962972690e-02
1.972188798759105086e-05 1.810017833344053803e-06 9.512377550485377827e-09 -8.771383318357806047e-04 1.659131810890563941e-01 1.650360427572206135e-01
1.979536307559105898e-05 1.793002644785272053e-06 9.431415472557835157e-09 -1.027523525262724613e-03 3.348418219049431599e-01 3.338142983796804630e-01
1.985610752675460801e-05 1.779824926105192480e-06 9.370198250971321824e-09 -1.493323374566590811e-03 1.877779217182986571e-01 1.862845983437320663e-01
1.987168369129208413e-05 1.783022230640867117e-06 9.260641839181601058e-09 -8.793797682694615148e-04 4.156608705695710171e-01 4.147814908013015556e-01
1.988432407897136958e-05 1.780026366355853614e-06 9.250907895519981541e-09 -2.985386288944485988e-03 2.273306275116482311e-01 2.243452412227037451e-01
1.985752231954306522e-05 1.790915032296891166e-06 9.217517685592886417e-09 -2.658007222530150981e-03 2.699246750817163587e-01 2.672666678591861800e-01
1.982679913188166641e-05 1.797996041485907774e-06 9.258228267333821250e-09 -4.090008719166593476e-03 2.760351911847145345e-01 2.719451824655479411e-01
1.977766530169405349e-05 1.809026661462083794e-06 9.318550696794820358e-09 -5.553778154763711061e-03 3.227715852734949209e-01 3.172178071187312098e-01
1.972200158288551052e-05 1.820961559149758825e-06 9.383063557576358942e-09 -5.781192670502338649e-03 -6.086985468325423199e-02 -6.665104735375657063e-02
1.967538619060708863e-05 1.830531051144281443e-06 9.435080828588904558e-09 -4.742961284799340760e-03 -6.919521157516683729e-02 -7.393817285996617805e-02
1.964614680181890179e-05 1.836291700913832149e-06 9.467313561670139894e-09 -2.892283173287601983e-03 -2.125083652043020521e-01 -2.154006483775896541e-01
1.965361151369412985e-05 1.832117892429871868e-06 9.519541117741964860e-09 -2.023712489246543011e-03 3.201237106019583223e-02 2.998865857094928922e-02
1.965546473364810384e-05 1.831326787389676680e-06 9.517605973052447228e-09 -1.818613719038214560e-03 4.594349675072617600e-01 4.576163537882235177e-01
1.965989191636093039e-05 1.829863619922944358e-06 9.511782181374595299e-09 -2.575305373880315551e-03 -3.002524235884251880e-02 -3.260054773272283435e-02
1.966651679006367211e-05 1.827846154255824938e-06 9.502634492767476913e-09 -2.335383902347887286e-03 -4.640776367113375045e-02 -4.874314757348163774e-02
1.967233303561431845e-05 1.826078600539021547e-06 9.494338793249576865e-09 -2.572998603115661531e-03 1.277859583788387710e-01 1.252129597757231094e-01
1.967209315353794398e-05 1.825937117757349762e-06 9.493871356525134884e-09 -3.571947077862319686e-03 3.241663786283535131e-01 3.205944315504911657e-01
1.965636342846436492e-05 1.829079611230265942e-06 9.509660849617034277e-09 -4.849133901007107728e-03 3.701874332017496272e-01 3.653382993007425195e-01
1.961396408630082641e-05 1.837546831350061914e-06 9.552074734537492899e-09 -4.434246573726513541e-03 2.329352018381563028e-01 2.285009552644297892e-01
1.954515844151077949e-05 1.850650043754967946e-06 9.617944212858263792e-09 -4.320321551251227188e-03 2.637757651832703942e-01 2.594554436320191670e-01
1.945591246722336423e-05 1.866632187751404435e-06 9.698099659275971680e-09 -2.755670064599563540e-03 6.930255068574275867e-02 6.654688062114319513e-02
1.942003652440864376e-05 1.859422315547142087e-06 9.942853220997984435e-09 -7.692180303229184668e-03 -6.962880974496776787e-02 -7.732099004819695254e-02
1.933355148383636302e-05 1.873721734576629765e-06 1.001477453623146036e-08 -5.591219768842442539e-03 1.243428206960750515e-02 6.843062300765062611e-03
1.926832767722818152e-05 1.884155942036614642e-06 1.006578151450553230e-08 -3.940738569302520977e-03 -1.191019289670567360e-01 -1.230426675363592570e-01
1.926669731250630558e-05 1.877641087861824997e-06 1.017499991325316231e-08 -1.407745854397041141e-03 -1.274594653356029283e-01 -1.288672111899999695e-01
1.930611044181988531e-05 1.865174399649896552e-06 1.024806813155249548e-08 -1.620794182398327399e-03 -2.826638702931791869e-01 -2.842846644755775420e-01
1.935343071263390642e-05 1.847692435428380232e-06 1.026702628238589560e-08 -1.267969256614459583e-03 -7.617642696057203011e-02 -7.744439621718648969e-02
1.938936087791861282e-05 1.832831579701465827e-06 1.017970250214518899e-08 -1.450074166276238419e-04 -1.389714606916516715e-01 -1.391164681082792953e-01
1.943959208625196993e-05 1.813809485509948455e-06 1.007471616128498081e-08 -4.296765116496015224e-05 3.570655166252834078e-02 3.566358401136338063e-02
1.950125080762478582e-05 1.793387724446374501e-06 9.956216498101380090e-09 -1.549219980303967459e-03 -1.244737221379565995e-02 -1.399659219409962740e-02
1.954867427944277303e-05 1.783219012012246474e-06 9.794115355265836176e-09 -1.733638494421374521e-03 2.464049939097954223e-01 2.446713554153740477e-01
1.958084785690045336e-05 1.779350769416662804e-06 9.649647311314856811e-09 -2.175417099092441520e-03 2.390126438658448649e-01 2.368372267667524234e-01
1.957287596888757650e-05 1.790545537811103463e-06 9.487594183347085763e-09 -5.003110893514739477e-04 4.902207337023796185e-01 4.897204226130281723e-01
1.957574338604721963e-05 1.790115309523338640e-06 9.478085090488517710e-09 -4.325915103735700207e-03 1.308482702598645631e-01 1.265223551561288629e-01
1.955917824343978017e-05 1.793907334749352491e-06 9.487764532270280775e-09 -3.917370575795553478e-03 -3.198113295250237798e-02 -3.589850352829793145e-02
1.953732288789802161e-05 1.798726547166373452e-06 9.501920067891794038e-09 -2.532324474562058780e-03 -4.807527098969011092e-02 -5.060759546425216970e-02
1.955488749568082033e-05 1.789963511760955024e-06 9.593256417347801491e-09 -3.717467978882255109e-03 -1.640329192513227952e-01 -1.677503872302050503e-01
1.955792203765795124e-05 1.789940700554561626e-06 9.580672334338323260e-09 -2.866091374885415544e-04 -7.503070893521979201e-03 -7.789680031010520755e-03
1.959524380511429566e-05 1.779469427612255132e-06 9.590886631639906489e-09 -3.608221974797654052e-04 -2.142065562340995655e-01 -2.145673784315793309e-01
1.964541186272123079e-05 1.765675510537809789e-06 9.582007503030970204e-09 -8.815449035633748931e-04 -2.167555160669696335e-01 -2.176370609705330084e-01
1.969107767838590477e-05 1.754367039413404870e-06 9.520385487323168275e-09 2.514405907910743920e-04 6.177347574182867618e-02 6.202491633261975057e-02
1.972934032290856701e-05 1.749614089551255095e-06 9.410122409828648245e-09 1.112841292383398573e-03 1.899019692845556051e-01 1.910148105769390037e-01
1.977921521141122739e-05 1.739035764076523418e-06 9.347858092057340448e-09 -4.180201423823470819e-04 -1.090084940240974021e-01 -1.094265141664797492e-01
1.980341779133363002e-05 1.738967966391282258e-06 9.251737581941679223e-09 8.683572017907925655e-04 1.748098187608277954e-01 1.756781759626185879e-01
1.980240061732900151e-05 1.746200903821699568e-06 9.160853920374849663e-09 -2.606733443346609391e-04 2.181803257109891092e-01 2.179196523666544483e-01
