S T U q1 q2 q3
1.018501704804518996e-06 1.005160880813209543e-06 6.443876633221595893e-09 1.112389080475083281e-04 8.952023656084762138e-02 8.963147546889513317e-02
1.018783256846717348e-06 1.007605616628702092e-06 6.421414688485468759e-09 4.302502540065762660e-05 -1.607244825357234674e-02 -1.602942322817169085e-02
1.019101991460328138e-06 1.009362319407369513e-06 6.402710128606150282e-09 -5.050167223410312323e-05 -2.044849354003872577e-01 -2.045354370726213677e-01
1.018957207281907805e-06 1.012160002004407310e-06 6.398630958979912178e-09 -5.613911323769024686e-05 1.908136712579810990e-01 1.907575321447434191e-01
1.017691898384125900e-06 1.016197522343487760e-06 6.409100213630760437e-09 -2.205429167342551344e-05 3.258979221659075165e-01 3.258758678742341153e-01
1.016205220653851192e-06 1.020282189252452109e-06 6.422397107118410684e-09 -5.683339130986390930e-05 1.555847347768892774e-01 1.555279013855794257e-01
1.015170605691117080e-06 1.022926552638924100e-06 6.439696809403319944e-09 -3.539077243496814573e-05 -1.090997743299020328e-01 -1.091351651023370062e-01
1.015092939362569422e-06 1.023341779574684801e-06 6.449135433904634152e-09 -9.869522082802707763e-05 -3.780310593427032018e-01 -3.781297545635312063e-01
1.015669735859345504e-06 1.018807866883981838e-06 6.461073470119275156e-09 -9.611621281136080441e-05 -4.735086835217128254e-01 -4.736047997345241845e-01
1.020510705076823758e-06 1.013154947910483803e-06 6.426691537322336636e-09 -3.965473143654162091e-05 -5.474148080532295069e-01 -5.474544627846660294e-01
1.029469237357291790e-06 1.002433203286778445e-06 6.385005219162189563e-09 -1.873295540244339363e-05 -3.208828414759459235e-01 -3.209015744313483687e-01
1.040978602121496241e-06 9.878858760147655936e-07 6.338501698238346527e-09 1.123364425782355513e-05 -2.289703621013785551e-01 -2.289591284571207419e-01
1.055262977131826001e-06 9.744724491293015447e-07 6.253187482008453604e-09 5.337607905279810605e-05 1.164138433284005458e-01 1.164672194074533457e-01
1.069343432860971590e-06 9.616066577211231300e-07 6.171152629390036671e-09 5.541068950402731896e-05 3.891270157553776698e-01 3.891824264448817128e-01
1.081982526348509492e-06 9.525347198657443673e-07 6.085350857876371341e-09 9.097190385070133556e-05 3.037771551233685585e-01 3.038681270272192703e-01
1.089777626573125441e-06 9.455923979754399114e-07 6.042006141649940021e-09 1.065836834276967515e-06 5.606387390339726551e-01 5.606398048708068904e-01
