S T U q1 q2 q3
2.345014465557009981e-06 6.241157586722620690e-07 2.888341126646528241e-08 -2.215010240939002326e-02 2.923560100816011698e-01 2.702059076722111430e-01
1.862711200828807068e-06 6.499239636727351809e-07 2.294290908410682122e-08 -1.679995601346360307e-02 1.700490901874118777e-02 2.049530052775846989e-04
1.479604099955494173e-06 6.920123530279092323e-07 1.822420047221826661e-08 -1.241850801751078620e-02 -9.524647606713543269e-02 -1.076649840846462258e-01
1.474309995440592399e-06 6.944961692072745257e-07 1.828959830421423011e-08 -1.243146037370693006e-02 3.254523153525461510e-01 3.130208549788392469e-01
1.171086056114690299e-06 7.412416185911524251e-07 1.452794433480271262e-08 -8.687889453122911443e-03 4.248023779317353643e-01 4.161144884786124321e-01
9.999999999999999547e-07 7.961326040487321271e-07 1.153995637763647443e-08 -6.140696754497124675e-03 1.630017343957614884e-01 1.568610376412643559e-01
9.999999999999999547e-07 8.689165403354991858e-07 9.166513178243183480e-09 -4.288184333430218771e-03 -1.812712388408552755e-01 -1.855594231742855038e-01
1.003842367210408785e-06 8.655904623283166860e-07 9.131424164853089552e-09 -4.352910086271042159e-03 -5.559994698552443992e-01 -5.603523799415154327e-01
1.011005623559240907e-06 8.594570165202546470e-07 9.066724085143004840e-09 -4.315110687795547552e-03 -7.515449225660919552e-01 -7.558600332538875088e-01
1.017618375472005150e-06 8.538716094428572225e-07 9.007804428960444427e-09 -4.286524935164529038e-03 -8.284540073627937318e-01 -8.327405322979583024e-01
1.025917049013673977e-06 8.469639622065895698e-07 8.934939173508846790e-09 -4.263219032829680330e-03 -5.410903617216558104e-01 -5.453535807544854785e-01
1.034886070576124185e-06 8.396228422874947709e-07 8.857502435368893869e-09 -4.202985247960366010e-03 -3.263630754264621459e-01 -3.305660606744225127e-01
1.045191789814137081e-06 8.313430745576972512e-07 8.770166634959093151e-09 -4.211022622731026496e-03 1.539096699267314960e-01 1.496986473040004817e-01
1.056002867730974455e-06 8.228309245947058890e-07 8.680380506888453586e-09 -4.260441475972504694e-03 5.432733271381149365e-01 5.390128856621424491e-01
1.065939360872042954e-06 8.151597133825520738e-07 8.599463388211496966e-09 -4.320682201775578185e-03 5.388188073799202726e-01 5.344981251781446563e-01
1.072507602842713023e-06 8.101670842731375444e-07 8.546796438231270465e-09 -4.438512430612252813e-03 8.483642880087121085e-01 8.439257755780998904e-01
1.075812943829835616e-06 8.076777921848987437e-07 8.520533720798314252e-09 -4.560166880978608686e-03 6.620915834145488787e-01 6.575314165335702787e-01
1.075832116368422240e-06 8.075647921063137310e-07 8.519435525642329237e-09 -4.629279133430733509e-03 6.181880543265219075e-01 6.135587751930912104e-01
1.075136946650758542e-06 8.092107075705191492e-07 8.536793617034735185e-09 -4.695659850845048527e-03 4.609091364413639980e-01 4.562134765905189737e-01
1.074197164059232491e-06 8.114629040084459649e-07 8.560546421404389261e-09 -4.761347097905150108e-03 2.526364052050258380e-01 2.478750581071206827e-01
1.072342668530681252e-06 8.159869159621753990e-07 8.608257761011279747e-09 -4.757613751377030853e-03 -3.497272358649059498e-01 -3.544848496162829599e-01
1.069975999143396320e-06 8.219535115792273368e-07 8.671179964239091013e-09 -4.685910732500879125e-03 -4.726363376149969042e-01 -4.773222483474977573e-01
1.068138377179392231e-06 8.267783567400701705e-07 8.722063529135389647e-09 -4.574369988792521824e-03 -6.551818052636040335e-01 -6.597561752523966039e-01
1.066661165749621976e-06 8.307853812979744018e-07 8.764323191833545636e-09 -4.451433411615999397e-03 -3.615454521639307472e-01 -3.659968855755467709e-01
1.065420580595926966e-06 8.342424568873454155e-07 8.800783281694750400e-09 -4.436436773198009290e-03 1.714545391033279742e-01 1.670181023301299528e-01
1.064082891590522348e-06 8.380598718737557615e-07 8.841043455405819865e-09 -4.474402818480398628e-03 -1.844545602805176543e-01 -1.889289630989980651e-01
1.063248628912244791e-06 8.405001049398007324e-07 8.866779488589495201e-09 -4.460298623678511307e-03 -8.727275040145165974e-02 -9.173304902513017278e-02
1.062011767899849656e-06 8.441815226281321000e-07 8.905605526478963409e-09 -4.471564477787685205e-03 2.268181518527825347e-01 2.223465873749948529e-01
1.060490966579660961e-06 8.488247356498602709e-07 8.954574033509390663e-09 -4.522711367378544692e-03 5.453635982737559118e-01 5.408408869063773272e-01
1.058458013451157232e-06 8.552359169898983241e-07 9.022184221708902354e-09 -4.586372639449599192e-03 6.697272235794802242e-01 6.651408509400306146e-01
9.999999999999999547e-07 9.546484486583950275e-07 7.217043437460329854e-09 -1.778514897203082798e-03 5.436374542719821790e-01 5.418589393747791361e-01
9.999999999999999547e-07 1.017221117567103409e-06 6.487753116247040511e-09 -1.812041922874315508e-04 4.299987210496531986e-01 4.298175168573657445e-01
9.999999999999999547e-07 1.026448144422802610e-06 6.546583949759916171e-09 -1.037193586173358606e-04 2.554528545846146415e-02 2.544156609984412828e-02
9.999999999999999547e-07 1.034965571223815523e-06 6.600891794349093411e-09 -1.133435599248878295e-04 -3.445456214028013164e-01 -3.446589649627261887e-01
9.999999999999999547e-07 1.043083579898694817e-06 6.652653704106552748e-09 -9.371860452831587418e-06 -4.514547096951684324e-01 -4.514640815556212883e-01
9.999999999999999547e-07 1.048615834374500005e-06 6.687931397960743896e-09 7.240879343394304724e-05 -7.277274319605435693e-01 -7.276550231671096158e-01
9.999999999999999547e-07 1.050915650009063451e-06 6.702598388702371228e-09 3.237570705145013938e-04 -8.132728823062560508e-01 -8.129491252357415876e-01
1.001614161657677554e-06 1.049221981639255402e-06 6.691796929389711691e-09 4.286852532188259457e-04 -9.670910467343798445e-01 -9.666623614811610254e-01
1.006671699638775256e-06 1.043950344960576395e-06 6.658178041414435641e-09 5.401397065400419945e-04 -6.767274070146953591e-01 -6.761872673081553708e-01
1.015331487551937701e-06 1.035045599031860473e-06 6.601392371816705037e-09 5.950749957026064269e-04 -5.857274032614157022e-01 -5.851323282657130420e-01
1.023983663708481215e-06 1.026299081697193639e-06 6.545615836432270408e-09 5.978417169225074684e-04 -1.532728562371534764e-01 -1.526750145202309672e-01
1.033308810146032825e-06 1.017036187158539837e-06 6.486546995021026161e-09 5.106549633008116568e-04 1.001816907188839423e-01 1.006923456821847557e-01
1.042790288992460373e-06 1.007787829856235444e-06 6.427571092762495863e-09 4.085000941379795386e-04 6.131816905886697811e-01 6.135901906828077346e-01
1.052096406820109307e-06 9.988726187432265889e-07 6.370719604036445736e-09 2.771669116859616644e-04 7.470907806838607002e-01 7.473679475955467000e-01
1.060625250629114203e-06 9.908394773636063155e-07 6.319492524715902792e-09 1.681518177209153503e-04 9.836362339085376050e-01 9.838043857262585012e-01
1.067813558146922332e-06 9.841687048558734448e-07 6.276952445277428473e-09 -3.912929685155608350e-05 4.750907777419541844e-01 4.750516484451026145e-01
1.073476434670199609e-06 9.789765371244689307e-07 6.243840804946956203e-09 -1.866729172714416685e-05 9.118168528944714524e-02 9.116301799772000281e-02
1.079543790679707122e-06 9.734739288042426982e-07 6.208749658360263974e-09 5.610309024454800120e-05 -1.817274056334134968e-01 -1.816713025431689610e-01
1.084543803075985976e-06 9.689856444850787996e-07 6.180126582377563481e-09 1.303336912592094332e-04 -4.899092236104714004e-01 -4.897788899192122014e-01
1.088236471688785242e-06 9.656974313108465035e-07 6.159156287010852445e-09 3.129142902855534814e-04 -3.930001323840421890e-01 -3.926872180937566181e-01
1.092212439146741699e-06 9.621817933544345804e-07 6.136735725882042052e-09 3.735145259277511398e-04 -5.545455857226819774e-01 -5.541720711967542679e-01
1.098063994056591287e-06 9.570539059595753440e-07 6.104034244805286494e-09 4.084355002552473440e-04 -4.624546746632365313e-01 -4.620462391629812648e-01
1.105298242505954809e-06 9.507892906484591731e-07 6.064084376615078170e-09 4.726315489021089278e-04 -4.227285540058289826e-02 -4.180022385168079280e-02
1.111301845164239345e-06 9.456523973287216422e-07 6.031325258315394234e-09 4.380147428034702334e-04 2.760907805969399220e-01 2.765287953397433940e-01
1.116599405023832005e-06 9.411655462968584121e-07 6.002711162137435161e-09 3.453423303897713154e-04 1.668180521070858902e-01 1.671633944374756597e-01
1.117707426901399705e-06 9.402325084001379288e-07 5.996760550271703654e-09 3.175165372373989908e-04 6.609089579364244571e-01 6.612264744736618960e-01
1.118731006046941093e-06 9.393722294963725428e-07 5.991273869760205929e-09 1.203463766460445561e-04 7.939998167653197214e-01 7.941201631419657625e-01
1.118259751327690742e-06 9.401848675698315339e-07 5.996456709386097379e-09 -6.580598096469006397e-05 9.219090885733844942e-01 9.218432825924197660e-01
