S T U Misfit
3.077572751725938916e-06 6.492880542445621761e-07 3.735610792701531366e-06 6.529210296413344688e-14
3.113874855344127363e-06 8.041933596585093655e-07 2.797260785370301878e-06 1.348778566177931959e-01
3.148108463029655339e-06 9.347929142878004648e-07 1.980048820195618189e-06 7.399866917842738056e-14
3.180273574782523265e-06 1.041086718132435474e-06 1.283974897177479877e-06 1.468708611435682435e-16
3.210370190602731143e-06 1.123074771192414499e-06 7.090390163158873643e-07 1.461322971947798812e-14
3.238398310490278550e-06 1.180757073467737327e-06 2.552411776108410748e-07 6.683518198558834936e-14
3.264357934445165484e-06 1.214133624958404595e-06 -7.741861893766068548e-08 2.010975093847757385e-14
3.288249062467410157e-06 1.223204425664421596e-06 -2.889403733296134697e-07 2.368583373277628309e-05
3.303883907316806416e-06 1.226629869653092757e-06 -7.280643985335572650e-07 1.817668945486181527e-14
3.369285340722346998e-06 1.106490902341244527e-06 1.031364894335049292e-07 6.633228586272107322e-13
3.415714571124805847e-06 1.062035008010520887e-06 2.060499660054067482e-07 2.382006133200036545e-11
3.443171598524183812e-06 1.020549362811547486e-06 2.860533542204961634e-07 8.530264963287951816e-12
-3.909405262110756364e-06 -7.048231800901810871e-04 3.433326464595119404e-07 2.330816899184824535e-10
2.214325430141824916e-06 -1.166809183219649131e-04 3.773916085142441607e-07 2.082093179844738567e-11
7.375358062336035181e-06 3.809845989099714856e-04 3.886024088845927958e-07 1.344284762680029444e-01
1.157369263447187782e-05 7.882450623643127421e-04 -3.284188429337809333e-07 4.108591604038108322e-13
1.480063314772957687e-05 1.104902578433519886e-03 2.249622194405647058e-07 5.768546432573408556e-14
1.703260152557859011e-05 1.331093442823856133e-03 6.650853639638101464e-07 9.602992724168901287e-16
1.775660966675007190e-05 1.466788379773837497e-03 9.918333548140690175e-07 1.933757910516873332e-14
1.889182436981057654e-05 1.512077991437131303e-03 1.205580558369112751e-06 1.451201837311018883e-14
1.887748863205317371e-05 1.466936298846684009e-03 1.296517578248427796e-06 6.639997694724884996e-16
1.782654233140112669e-05 1.331227276871309014e-03 1.291553599559585091e-06 1.456651707439992645e-12
1.573898546785443549e-05 1.104995248505964180e-03 8.166562403299781233e-07 1.398896679930224374e-01
1.268355683297232701e-05 7.882191964699041984e-04 1.364917846587611734e-06 3.842303025321267201e-12
8.548363554650761760e-06 3.809707449892241801e-04 1.731068382145485647e-06 2.849696594502832825e-13
3.404158873526233352e-06 -1.167470854636638817e-04 1.915118050660944182e-06 2.517275721459188572e-13
-1.022199252938592010e-05 -1.410733826406075034e-03 1.917236780001789410e-06 1.258532391037015772e-13
-4.281563571116166230e-06 -1.530362949561608985e-04 1.736778321008795870e-06 1.304104276309193122e-01
6.991436352917743507e-06 3.749836662594642771e-04 8.510723584146749195e-07 2.563640811798952560e-15
